Phrase,Intent
Yes book it please.,AFFIRM
Thank you.,THANK_YOU
Thank you.,GOODBYE
No that's all thanks.,NEGATE
No that's all thanks.,THANK_YOU
"I am going on vacation soon, so I need to find some one way flights. I will be leaving from Paris.",INFORM
I want to travel to Las Vegas. I want to leave on March 10th and don't care about the airline.,INFORM
Where does that flight depart from and is the ticket refundable?,REQUEST
Is there anything else available?,REQUEST_ALTS
"Okay, that sounds good. I would like to leave soon, so could you help me with buying that one way ticket?",SELECT
"Okay, that sounds good. I would like to leave soon, so could you help me with buying that one way ticket?",INFORM
Yes that is correct. What airport does that leave from?,AFFIRM
Yes that is correct. What airport does that leave from?,REQUEST
"Okay, thanks for the help.",THANK_YOU
"No thanks, that's all.",NEGATE
"No thanks, that's all.",THANK_YOU
I need to find a one way flight.,INFORM
I will be flying out of Phoenix on March 8th. I would like something in Economy.,INFORM
Seattle and I need 1 ticket.,INFORM
What time does it arrive and at what airport?,REQUEST
That flight works for me>,SELECT
Yes please book the ticket.,AFFIRM
Yes that is good.,AFFIRM
What airport will I be flying from?,REQUEST
"Thanks, that will be all.",THANK_YOU
"Thanks, that will be all.",GOODBYE
I have a trip coming up. Are there any oneway flights from New York?,INFORM
There is only one person in my group. I am planning to leave on the 8th of this month.,INFORM
I am traveing to San Diego.,INFORM
"Which airport is this flight departing from? Also, is this ticket refundable?",REQUEST
This flight sounds good to me.,SELECT
"Yes, please book a flight for me. My plans might change, so please purchase refundable tickets only.",AFFIRM
"Yes, please book a flight for me. My plans might change, so please purchase refundable tickets only.",INFORM
"Yes, this sounds good. When does the onward flight arrive?",AFFIRM
"Yes, this sounds good. When does the onward flight arrive?",REQUEST
Thank you very much!,THANK_YOU
Thank you very much!,GOODBYE
"No, thank you!",NEGATE
"No, thank you!",THANK_YOU
"Please find a one-way flight from Paris, France.",INFORM
I'll be going on the 14th of March.,INFORM
"Actually, I'll be leaving from Ciudad de Mexico, and my destination is San Diego.",INFORM
"Great, that flight will do.",SELECT
"Sure, go ahead and buy a ticket for me.",AFFIRM
"Yeah, that's perfect.",AFFIRM
"Great, thanks.",AFFIRM
"Great, thanks.",THANK_YOU
"Great, thanks.",GOODBYE
"Nope, we're good. Thanks a lot for the help!",NEGATE
"Nope, we're good. Thanks a lot for the help!",THANK_YOU
I need to find round trip flights for 3 people travelling to Washington.,INFORM
"I'm leaving for Philly next Thursday, returning on the 11th.",INFORM
That's great. I'm only going on a short trip. Can you book the tickets on my behalf?,SELECT
That's great. I'm only going on a short trip. Can you book the tickets on my behalf?,INFORM
That's great.,AFFIRM
That's great.,SELECT
Thanks for your help. That's all.,THANK_YOU
Thanks for your help. That's all.,GOODBYE
Can you look for round trip flights?,INFORM
"I am departing from Seattle, WA and would like to return on the 12th of this month.",INFORM
I am traveling to San Diego tomorrow.,INFORM
"That sounds great. I'm planning a short trip, can you help me buy the tickets?",SELECT
"That sounds great. I'm planning a short trip, can you help me buy the tickets?",INFORM
There will be 1 person in my group and I prefer Premium Economy.,NEGATE
There will be 1 person in my group and I prefer Premium Economy.,INFORM
"Yes, sounds great. Can you tell me if the ticket is refundable and if it has 1 stop?",AFFIRM
"Yes, sounds great. Can you tell me if the ticket is refundable and if it has 1 stop?",REQUEST
"Thank you for all your help, that will be all I need.",THANK_YOU
"Thank you for all your help, that will be all I need.",GOODBYE
Can you look up some round trip flights for me?,INFORM
Monday next week. I'd be leaving from Las Vegas and going to SD.,INFORM
The 11th of March.,INFORM
"That sounds good, can you book the tickets?",SELECT
"That sounds good, can you book the tickets?",INFORM
"Perfect. What time does my return flight arrive. Also, is the ticket refundable?",AFFIRM
"Perfect. What time does my return flight arrive. Also, is the ticket refundable?",REQUEST
Thanks. That's all I need.,THANK_YOU
Thanks. That's all I need.,GOODBYE
Can you find some round trips for me with American Airlines on the 2nd?,INFORM
I want to go to SF on the 8th of this month.,INFORM
I'll be leaving LA.,INFORM
That flight sounds great.,SELECT
"No, I just needed the information. Thanks!",NEGATE
"No, I just needed the information. Thanks!",GOODBYE
I need you to find me some flights.,INFORM
"I'm going to Portland, OR and am leaving from Phoenix.",INFORM
I want to leave on March 12th and return on 14th of march.,INFORM
Are there zero stops?,REQUEST
When will my return flight arrive? From what airport does the flight leave?,REQUEST
Are there any other available flights there?,REQUEST_ALTS
That sounds great. I want to go on a short trip. Can you help me get tickets?,SELECT
That sounds great. I want to go on a short trip. Can you help me get tickets?,INFORM
"Yes, that sounds great.",AFFIRM
"Yes, that sounds great.",SELECT
"Yes, that sounds great.",REQUEST
Thanks for everything.,THANK_YOU
Thanks for everything.,GOODBYE
Can you find me round trip flights?,INFORM
I want to come back on 4th of March and Im leaving from ATL,INFORM
I want to fly to Seattle.,INFORM
I would like to leave on this Saturday,INFORM
Thats great for me. Im planning to go for a short trip. Can you help me to get the flight tickets?,SELECT
Thats great for me. Im planning to go for a short trip. Can you help me to get the flight tickets?,INFORM
Yes thats great for me. Which airport does the it depart from and when does the return flight arrive?,AFFIRM
Yes thats great for me. Which airport does the it depart from and when does the return flight arrive?,REQUEST
Thanks a lot for it,THANK_YOU
No Thats all for now. Thanks,NEGATE
No Thats all for now. Thanks,THANK_YOU
Can you do a search for round trip flights?,INFORM
I'm leaving from Seattle.,INFORM
I'm going to Los Angeles and I'm coming back on the 12th of this month.,INFORM
Leaving this Saturday.,INFORM
Does it have zero stops? What's the arrival airport?,REQUEST
What about the other flights? Look for three tickets. I prefer United Airlines,REQUEST_ALTS
What about the other flights? Look for three tickets. I prefer United Airlines,INFORM
"Sounds good, can you buy the tickets?",SELECT
"Sounds good, can you buy the tickets?",INFORM
"No, buy Premium Economy.",NEGATE
"No, buy Premium Economy.",INFORM
"Yup, sounds good.",AFFIRM
"Thanks, that's great.",THANK_YOU
"Nope, thanks again.",NEGATE
"Nope, thanks again.",THANK_YOU
I am looking to book a flight for Delta Airlines,INFORM
I am going to fly from seattle.,INFORM
I want to return on the 9th.,INFORM
I am going to Vancouver want Premium Economy on March 2nd.,INFORM
when does the flight arrive?,REQUEST
That flight sounds great can you help me book the tickets. I am planning a short trip.,SELECT
That flight sounds great can you help me book the tickets. I am planning a short trip.,INFORM
that sounds great,AFFIRM
that sounds great,SELECT
thank you for helping me,THANK_YOU
No that is everything thank you for your help.,NEGATE
No that is everything thank you for your help.,THANK_YOU
Please help me find flights from Southwest Airlines. I need to be back at my hometown.,INFORM
I need to leave on the 5th to attend a family gathering at Seattle. I will be coming from SFO.,INFORM
I need to be back at work on 12th of March.,INFORM
Oh nice. But I just want to go on a short trip. Can help be buy my tickets?,SELECT
Oh nice. But I just want to go on a short trip. Can help be buy my tickets?,INFORM
"Yes, everything is right.",AFFIRM
"Thank you very much, you're really a big help!",THANK_YOU
"No,that would be all. Thank you!",NEGATE
"No,that would be all. Thank you!",THANK_YOU
Can you find me a round trip flight back on March 10th,INFORM
I am going to LA on March 5th,INFORM
I am leaving from Vancouver monday next week and i prefer Delta airlines,INFORM
When does the flight arrive?,REQUEST
When does the flight arrive and how many stops ?,REQUEST
that sounds good,SELECT
yes please,AFFIRM
yes please,SELECT
yes please and what airport does it depart from and is ticket refundable?,AFFIRM
yes please and what airport does it depart from and is ticket refundable?,REQUEST
Thanks,THANK_YOU
no thats it,NEGATE
no thats it,THANK_YOU
Can you find round trip flights for me?,INFORM
I am leaving on the 8th of March and want to get back on March 11th. I will be traveling to Ciudad de Mexico.,INFORM
"I am traveling from Phoenix, Az.",INFORM
"I have 4 people in my group, are there any other flights available?",REQUEST_ALTS
"I have 4 people in my group, are there any other flights available?",INFORM
How many stops does it have?,REQUEST
"Ok, this flight sounds good to me.",SELECT
"Yes, I want to book the tickets.",AFFIRM
"Yes, that sounds good. What airport will the flight be landing?",AFFIRM
"Yes, that sounds good. What airport will the flight be landing?",REQUEST
Thanks for your help.,THANK_YOU
Thanks for your help.,GOODBYE
No thanks. that will be all.,NEGATE
No thanks. that will be all.,THANK_YOU
I am looking for round trip flights just for one person.,INFORM
I want to go next Monday to Chicago.,INFORM
I need a return fight for the 12th.,INFORM
I am leaving from SF.,INFORM
Are there any other options?,REQUEST_ALTS
Anything else available?,REQUEST_ALTS
That one sounds perfect.,SELECT
Yes please travelling Economy.,AFFIRM
Yes please travelling Economy.,INFORM
That's correct. Which airports do I depart from and what is my arrival time ?,AFFIRM
That's correct. Which airports do I depart from and what is my arrival time ?,REQUEST
No thank you.,NEGATE
No thank you.,THANK_YOU
I would like to book a flight.,INFORM
Departure on the 3rd of March and return on the 10th.,INFORM
I'm going to Chicago.,INFORM
Tell me about another flight.,REQUEST_ALTS
"Yes, you can book ticket.",SELECT
"Yes, you can book ticket.",INFORM
"Yes, that sounds good",AFFIRM
is the ticket refundable?,REQUEST
thank you that is all.,THANK_YOU
thank you that is all.,GOODBYE
Could you please find Economy class flights for me?,INFORM
I plan to leave for Chicago on the 2nd of March.,INFORM
"I would like to return from London, UK, on March 12th.",INFORM
I am interested in that flight.,SELECT
"Yes, please book the ticket.",AFFIRM
"Yes,that sounds perfect. What is the arrival time for my return flight?",AFFIRM
"Yes,that sounds perfect. What is the arrival time for my return flight?",REQUEST
"Thank you, you've been very helpful. That will be all.",THANK_YOU
"Thank you, you've been very helpful. That will be all.",GOODBYE
Can you find me some round trip flights for my business conference?,INFORM
I'm going from CDMX to Chi-town and leaving on the 3rd.,INFORM
I want to get back on the 8th of March.,INFORM
Are there any other flights?,REQUEST_ALTS
"How about any other flights? This is just for 1 person, and seating doesn't matter.",REQUEST_ALTS
"How about any other flights? This is just for 1 person, and seating doesn't matter.",INFORM
What time does the return flight arrive?,REQUEST
"Sounds good to me, since it's just a short trip. Can you help me buy the tickets?",SELECT
"Sounds good to me, since it's just a short trip. Can you help me buy the tickets?",INFORM
That sounds good. What time does the plan arrive in Chicago? Is the ticket refundable?,AFFIRM
That sounds good. What time does the plan arrive in Chicago? Is the ticket refundable?,REQUEST
"Thanks for your help, that's all I needed.",THANK_YOU
"Thanks for your help, that's all I needed.",GOODBYE
Could you please find round trip flights?,INFORM
I am moving to LA on 4th of March. It is ok with any class.,INFORM
I will be back on the 11th.,INFORM
I am moving from Chi-town.,INFORM
It is a good choice for me. could you book tickets for me?,SELECT
It is a good choice for me. could you book tickets for me?,INFORM
Nope. Kindly book it for 2 persons.,NEGATE
Nope. Kindly book it for 2 persons.,INFORM
It is good. Whether the flight has 0 stops?,AFFIRM
It is good. Whether the flight has 0 stops?,REQUEST
From which airport the flight starts?,REQUEST
Thank you so much for your help.,THANK_YOU
Nope. Thank you very much for your help.,NEGATE
Nope. Thank you very much for your help.,THANK_YOU
I am looking for round trip flights from Seattle leaving on Tuesday next week.,INFORM
I am traveling to SFO and returning on March 8th.,INFORM
Are there any other flights available. I want to return on the 11th of March and I prefer Economy.,REQUEST_ALTS
Are there any other flights available. I want to return on the 11th of March and I prefer Economy.,INFORM
Is this ticket refundable?,REQUEST
Are there any other available flights? It is for one person.,REQUEST_ALTS
Are there any other available flights? It is for one person.,INFORM
"That flight works for me, can you help me purchase the ticket?",SELECT
"That flight works for me, can you help me purchase the ticket?",INFORM
"Yes, that is correct.",AFFIRM
"Thank you, that is all I needed.",THANK_YOU
"Thank you, that is all I needed.",GOODBYE
Could you find round trip flights for me?,INFORM
I will leave from LAX to Phoenix and want to return on the 14th of March.,INFORM
I will leave on the 11th of March.,INFORM
When does my return flight arive?,REQUEST
Is anything else available? I will leave from San Diego and I don't care about the airline.,REQUEST_ALTS
Is anything else available? I will leave from San Diego and I don't care about the airline.,INFORM
Could you suggest other flights?,REQUEST_ALTS
Which airport does the flight arrive to. Could I get a refund if I needed one?,REQUEST
That flight sounds good.,SELECT
"Yes, please book the ticket for one person.",AFFIRM
"Yes, please book the ticket for one person.",INFORM
"No, there are actually 3 people in my group.",NEGATE
"No, there are actually 3 people in my group.",INFORM
"Yes, that sounds good. Could you tell me when the outbound flight arrives?",AFFIRM
"Yes, that sounds good. Could you tell me when the outbound flight arrives?",REQUEST
Thank you for helping. That is all I wanted.,THANK_YOU
Thank you for helping. That is all I wanted.,GOODBYE
I'm looking for round trip airline tickets to San Francisco. Can you help?,INFORM
"I'd like to fly out of London on the 6th of March, returning on the 13th of this month.",INFORM
Can you please tell me the destination airport and the number of stops?,REQUEST
This sounds perfect. Can you help me get tickets?,SELECT
This sounds perfect. Can you help me get tickets?,INFORM
"Yes, that's perfect.",AFFIRM
Thanks so much for everything!,THANK_YOU
"No, that will be all.",NEGATE
"No, that will be all.",THANK_YOU
Can you please search round trip flights for two people?,INFORM
I'm leaving from Portland.,INFORM
"I am traveling to LA, leaving on March 12th and returning on the 14th of this month.",INFORM
"When does the initial flight arrive, and does it have zero stops?",REQUEST
Are there any other available flights?,REQUEST_ALTS
Are there others available?,REQUEST_ALTS
That sounds good. Can you please reserve the tickets?,SELECT
That sounds good. Can you please reserve the tickets?,INFORM
When does my return flight arrive?,REQUEST
"Thank you for all your help, that is all I need.",THANK_YOU
"Thank you for all your help, that is all I need.",GOODBYE
Can you search flights for me?,INFORM
I'm traveling from NY to Chi-town on the 9th of March.,INFORM
I want to return on March 14th and I prefer United Airlines.,INFORM
Which airport does the flight depart from?,AFFIRM
Which airport does the flight depart from?,REQUEST
That flight sounds good to me.,SELECT
"Yes, please.",AFFIRM
"Yes, that sounds good.",AFFIRM
"Yes, that sounds good.",SELECT
Thanks for your help. That's all I need.,THANK_YOU
Thanks for your help. That's all I need.,GOODBYE
Hello. Can you help me search for round trip flights?,INFORM
"I am traveling to Seattle, WA.",INFORM
"I want to leave from ATL on the 1st of March, and return on the 12th of March.",INFORM
"Are there any other options? I have three people in my group, and we prefer economy tickets.",REQUEST_ALTS
"Are there any other options? I have three people in my group, and we prefer economy tickets.",INFORM
That one sounds good to me.,SELECT
"Yes, please book the tickets.",AFFIRM
"Yes, that's it.",AFFIRM
Is that ticket class refundable?,REQUEST
What time does the outbound flight arrive in Seattle?,REQUEST
"No, that's it. Thanks for your help.",NEGATE
"No, that's it. Thanks for your help.",THANK_YOU
Please look for round trip flights.,INFORM
I'm going to NYC. I want to leave on March 3rd and get back on the 14th of March.,INFORM
Leaving from Ciudad de Mexico.,INFORM
What else is available?,REQUEST_ALTS
"Yes, that sounds good, I need four tickets.",SELECT
"Yes, that sounds good, I need four tickets.",INFORM
"Yes, that's right. Is this refundable? Also, when does the onward flight arrive?",AFFIRM
"Yes, that's right. Is this refundable? Also, when does the onward flight arrive?",REQUEST
Thanks for the assistance.,THANK_YOU
"Nope, that's it.",NEGATE
"Nope, that's it.",THANK_YOU
I would like to book a round trip.,INFORM
On March 12th to Vancouver and getting back on the 14th of this month.,INFORM
"I am leaving from Seattle, WA.",INFORM
That flight is good.,SELECT
"Yes, book the ticket for Economy class.",AFFIRM
"Yes, book the ticket for Economy class.",INFORM
"Yes, that is good. What time does the flight arrive and which airport?",AFFIRM
"Yes, that is good. What time does the flight arrive and which airport?",REQUEST
Thank you for your help.,THANK_YOU
Thank you for your help.,GOODBYE
I want a list of round trip flights.,INFORM
Departure is LA and arrival is Seattle to return on the 10th of this month.,INFORM
I want to leave today.,INFORM
Are there others because I need four in any class.,REQUEST_ALTS
Are there others because I need four in any class.,INFORM
I accept this flight.,SELECT
No I do not want yet.,NEGATE
No that is all.,NEGATE
No that is all.,THANK_YOU
I want to look at some flights.,INFORM
"Later today, and there are 4 people traveling with me.",INFORM
Leaving from SFO to Seattle. I need to return on the 14th of this month.,INFORM
Is there anything else available in Economy?,REQUEST_ALTS
Is there anything else available in Economy?,INFORM
Are there any Delta Airlines flights?,REQUEST_ALTS
Are there any Delta Airlines flights?,INFORM
Where does that flight leave from? Does it have 1 stop?,REQUEST
Sound good.,SELECT
"No, that's all thank you.",NEGATE
"No, that's all thank you.",THANK_YOU
I need to go on a trip. Can you find a round-trip flight for me?,INFORM
"I am going to Toronto, Canada. I want to leave on the 2nd and return on the 5th of March.",INFORM
I'll leave from New York City.,INFORM
"What airport does this flight take me too, and which station does it leave from?",REQUEST
Sounds great. I'll only be gone a little while. Can you reserve tickets for 3 people?,SELECT
Sounds great. I'll only be gone a little while. Can you reserve tickets for 3 people?,INFORM
Everything sounds perfect.,AFFIRM
Thanks a lot.,THANK_YOU
Thanks a lot.,GOODBYE
"No, that's all.",NEGATE
"No, that's all.",THANK_YOU
Can you help me find a round trip flight through Delta Airlines?,INFORM
I would like a flight to LA please.,INFORM
I would be flying out of Atlanta on the 3rd and I would like to return on the 9th of March.,INFORM
That's sounds perfect for my short trip. Can you reserve the ticket for 1?,SELECT
That's sounds perfect for my short trip. Can you reserve the ticket for 1?,INFORM
I am sorry can you see what is available with Premium Economy?,NEGATE
I am sorry can you see what is available with Premium Economy?,INFORM
I would like to book that one please.,AFFIRM
"I am sorry, can you please let me know the return flight arrival time, and is this ticket refundable?",REQUEST
"Thank you for all of your help, that will be all for today.",THANK_YOU
"Thank you for all of your help, that will be all for today.",GOODBYE
"Hey, I'm thinking of going on a trip. Can you search round trip flights for me?",INFORM
"I want to leave on the 3rd and get back on 11th of this month. The destination is Atlanta, GA.",INFORM
From LA. I want two tickets.,INFORM
In which airport will it arrive? Does it have 0 stops or more than that?,REQUEST
"Yes, in Economy, please.",AFFIRM
"Yes, in Economy, please.",INFORM
"Yes, that's exactly it.",AFFIRM
Thanks for the help.,THANK_YOU
"No, that was all.",NEGATE
"No, that was all.",THANK_YOU
Could you help to search for round trip tickets departing from LA?,INFORM
I would prefer to leave on Monday next week to NY and return on the 14th.,INFORM
Are there any alternative flights?,REQUEST_ALTS
That sounds great!,AFFIRM
That sounds great!,SELECT
"Yes, that will be great.",AFFIRM
"That sounds great! What time does the onward flight, and is this ticket refundable?",AFFIRM
"That sounds great! What time does the onward flight, and is this ticket refundable?",REQUEST
Thank you very much! That's all the help I need.,THANK_YOU
Thank you very much! That's all the help I need.,GOODBYE
Please search flights for me.,INFORM
I m leaving from Vegas on the 6th of this month and coming back on the 9th of this month.,INFORM
I am going to SD.,INFORM
There is only 1 in my group. Are there any other available flights?,REQUEST_ALTS
There is only 1 in my group. Are there any other available flights?,INFORM
Yes I would like to book the flights. Because my plans may change make sure to book only refundable tickets. Either business or economy is fine.,AFFIRM
Yes I would like to book the flights. Because my plans may change make sure to book only refundable tickets. Either business or economy is fine.,INFORM
That sounds good.,AFFIRM
That sounds good.,SELECT
That sounds good.,INFORM
Please search the flights for me with return date of 7th of this month.,INFORM
Please search for NYC to LAX.,INFORM
I am planning to leave this Saturday.,INFORM
what are the arrival schedules for both locations?,REQUEST
this flight looks good.,SELECT
"Yes, book either business or economy tickets for this flight",AFFIRM
"Yes, book either business or economy tickets for this flight",INFORM
i think its fine.,AFFIRM
Thank you for your assistance.,THANK_YOU
"No, this should be enough for now.",NEGATE
"No, this should be enough for now.",THANK_YOU
"I'm leaving from SF and traveling to Seattle, WA.",INFORM
I'd like to leave on the 6th of March and return March 10th; this is for 1 person.,INFORM
What are some of the other flights?,REQUEST_ALTS
What flights are available for a group of four?,REQUEST_ALTS
What flights are available for a group of four?,INFORM
Is the ticket refundable? When does the onward flight arrive?,REQUEST
"Yes, I'd like to book the tickets.",AFFIRM
"That's all I need, thanks.",THANK_YOU
"That's all I need, thanks.",GOODBYE
Can you search some flights for me?,INFORM
I'm leaving Chi-town via economy class,INFORM
I plan on leaving next Thursday,INFORM
I want to get back on the 10th,INFORM
"I'm going to Seattle, doesn't matter what airline",INFORM
"That sounds good, can you buy tickets for a short trip for 3 people",SELECT
"That sounds good, can you buy tickets for a short trip for 3 people",INFORM
Yes that sounds right,AFFIRM
"What time does the departing flight arrive, as well as the return flight?",REQUEST
Thanks for your help,THANK_YOU
No that's all thanks,NEGATE
No that's all thanks,THANK_YOU
Please help me find a flight?,INFORM
The travel will be for two people leaving from Seattle,INFORM
Leaving on March 3rd and going to Chicago,INFORM
I like United Airlines and want to come back on the 8th of March,INFORM
Is that ticket refundable and from what airports?,REQUEST
Great,SELECT
Yes please and book it in Economy,AFFIRM
Yes please and book it in Economy,INFORM
Perfect,AFFIRM
"Perfect, that's all I need",THANK_YOU
"Perfect, that's all I need",GOODBYE
I would like to find 1 ticket for a flight.,INFORM
"I want to travel round trip to Atlanta, GA and get back on the 9th.",INFORM
I'm leaving from San Francisco on the 2nd of March.,INFORM
No thanks. That's all I needed to know.,NEGATE
No thanks. That's all I needed to know.,GOODBYE
I'm thinking of traveling soon could you find me a flight?,INFORM
"I'm leaving from San Francisco and am traveling to London, England. I plan on returning on the 6th of this month.",INFORM
"I'm leaving tomorrow, could you find me a flight through American Airlines?",INFORM
"Okay, when does the onward flight arrive?",REQUEST
Does the flight only have one stop?,REQUEST
That sounds perfect.,AFFIRM
That sounds perfect.,SELECT
That sounds perfect.,GOODBYE
"Yes, please book a ticket.",AFFIRM
Yes that's correct.,AFFIRM
"No, that is all.",NEGATE
"No, that is all.",THANK_YOU
Search flights leaving on the 8th of this month please.,INFORM
I'll be leaving from London on the 10th of this month. I'll be traveling to ATL.,INFORM
That flight will work,SELECT
"Yes, please book the flight.",AFFIRM
Yes thats right. When would my return flight arrive?,AFFIRM
Yes thats right. When would my return flight arrive?,REQUEST
Thanks for helping me,THANK_YOU
No that's all,NEGATE
No that's all,THANK_YOU
I'm planning a vacation. Would you mind searching some flights for me?,INFORM
I have work back so I want to leave San Fran on the 13th,INFORM
I'll be traveling to Chicago and leaving on March 9th.,INFORM
Are there any other available flights? That time doesn't work for me.,REQUEST_ALTS
Which airport does the flight arrive at?,REQUEST
That sounds good. Could you help me buy the tickets?,SELECT
That sounds good. Could you help me buy the tickets?,INFORM
"No, I'm all good.",NEGATE
"No, I'm all good.",THANK_YOU
"I am traveling to Philadelphia, can you find me a flight?",INFORM
I am leaving form SFO on March 7th and returning 12th of this month.,INFORM
Which airport does the flight leave?,REQUEST
Any other options for me?,REQUEST_ALTS
"That sounds good, the plan is small trip. Please buy me the tickets",SELECT
"That sounds good, the plan is small trip. Please buy me the tickets",INFORM
Yes thats correct,AFFIRM
Thanks for the help,THANK_YOU
Thanks for the help,GOODBYE
Please help me find flights.,INFORM
Will be leaving on March 3rd.,INFORM
I will visit SF and I am from Las Vegas.,INFORM
Plans to get back on March 14th and I would like to travel on Economy.,INFORM
That sounds good but I am planning to go on a short trip. Can you help me book the flight?,SELECT
That sounds good but I am planning to go on a short trip. Can you help me book the flight?,INFORM
"No, there's just 1 person.",NEGATE
"No, there's just 1 person.",INFORM
"No, I mean please book flights for 2 persons.",NEGATE
"No, I mean please book flights for 2 persons.",INFORM
"Yes, that right!",AFFIRM
When does we arrive upon departing?,REQUEST
"Alright, thank you!",THANK_YOU
"Alright, thank you!",GOODBYE
Would you be able to find me a flight?,INFORM
I want to leave on March 3rd.,INFORM
"I will be departing from Atlanta, GA, returning on the 5th, and am going to Paris.",INFORM
Can you find something else specifically in Economy?,REQUEST_ALTS
Can you find something else specifically in Economy?,INFORM
That is good. Can you buy me tickets?,SELECT
That is good. Can you buy me tickets?,INFORM
That is great.,AFFIRM
That is great.,SELECT
Thanks. That is all.,THANK_YOU
Thanks. That is all.,GOODBYE
Can you help me search for flights?,INFORM
On March 10th. I'm leaving on the 6th of March.,INFORM
"I am heading to Atlanta, GA.",INFORM
I'm leaving from Delhi.,INFORM
"Which airport does the flight come? Also, is the ticket refundable?",REQUEST
"Okay, sounds good.",SELECT
"No, I'm good for now. Maybe another time.",NEGATE
"No, I'm good for now. Maybe another time.",GOODBYE
Can you find flights for me on American Airlines? I need to be back by the 11th.,INFORM
I'll be flying from Chicago on the 3rd of this month.,INFORM
I'm going to New York.,INFORM
When does the return flight arrive?,REQUEST
And when does the outbound flight arrive at the destination?,REQUEST
"Yes, please. Get me Economy class ticket.",AFFIRM
"Yes, please. Get me Economy class ticket.",INFORM
That's right. How many stops does the flight have?,AFFIRM
That's right. How many stops does the flight have?,REQUEST
At which airport does the flight arrive? Is the ticket refundable?,REQUEST
Thank you. That's all I need for now.,THANK_YOU
Thank you. That's all I need for now.,GOODBYE
I need you to look for some flights for me.,INFORM
I plan to leave on the 5th of March.,INFORM
I'm leaving from CDMX to Chicago and I'll be back on the 13th of this month.,INFORM
"Fine, I'll take it.",SELECT
Perfect.,AFFIRM
Perfect.,SELECT
Can you search some premium economy flights for me?,INFORM
I'm leaving from San Fran.,INFORM
I'm going to Portland. I'm coming back on Tuesday next week.,INFORM
When and where does the flight arrive?,REQUEST
"No, that's it.",NEGATE
"No, that's it.",THANK_YOU
