Phrase,Entity
Italian,B-cuisine
food,O
.,O
,
Can,O
you,O
provide,O
the,O
address,O
and,O
do,O
they,O
have,O
live,O
music,O
?,O
,
Any,O
other,O
recommendation,O
?,O
,
Can,O
you,O
provide,O
more,O
options,O
?,O
,
That,O
sounds,O
like,O
a,O
good,O
choice,O
for,O
me,O
.,O
,
Yes,O
",",O
make,O
a,O
reservation,O
at,O
the,O
restaurant,O
.,O
,
I'll,O
reach,O
there,O
at,O
1:30,O
pm,O
.,O
,
No,O
",",O
change,O
the,O
time,O
to,O
7,O
pm,O
and,O
for,O
one,O
person,O
only,O
.,O
,
No,O
",",O
change,O
it,O
on,O
next,O
friday,O
.,O
,
Yes,O
.,O
Sounds,O
good,O
.,O
,
What,O
is,O
the,O
address,O
of,O
the,O
restaurant,O
and,O
do,O
the,O
have,O
live,O
music,O
?,O
,
Alright,O
",",O
Thank,O
you,O
.,O
,
I,O
am,O
looking,O
to,O
eat,O
somewhere,O
,
I,O
want,O
some,O
breakfast,B-cuisine
in,O
Fairfield,B-city
,
Do,O
they,O
have,O
live,O
music,O
with,O
liquor,O
,
ok,O
that,O
works,O
,
Yes,O
",",O
please,O
make,O
reservation,O
for,O
one,O
people,O
this,O
evening,O
4:45,O
,
thats,O
correct,O
.,O
What,O
is,O
their,O
phone,O
number,O
what,O
how,O
expensive,B-price_range
are,O
they,O
,
yes,O
thats,O
fine,O
,
thanks,O
,
no,O
thats,O
it,O
,
I'm,O
starving,O
!,O
Can,O
you,O
help,O
me,O
find,O
a,O
restaurant,O
that,O
serves,O
Breakfast,B-cuisine
in,O
Fairfield,B-city
?,O
,
Is,O
there,O
a,O
band,O
playing,O
there,O
?,O
,
That's,O
okay,O
.,O
It,O
will,O
work,O
anyway,O
.,O
,
Yes,O
",",O
I'll,O
need,O
to,O
make,O
a,O
reservation,O
for,O
a,O
table,O
for,O
2,B-party_size
.,O
,
Please,O
make,O
it,O
for,O
half,O
past,O
5,B-party_size
in,O
the,O
evening,O
.,O
,
I'm,O
sorry,O
",",O
I,O
need,O
to,O
change,O
that,O
.,O
I'd,O
like,O
it,O
on,O
the,O
9th,O
and,O
it,O
will,O
be,O
for,O
3,B-party_size
people,O
.,O
,
I'm,O
sorry,O
.,O
I,O
need,O
to,O
make,O
it,O
on,O
Monday,O
next,O
week,O
at,O
half,O
past,O
12,O
in,O
the,O
afternoon,O
.,O
,
Yes,O
",",O
I'm,O
sorry,O
for,O
the,O
confusion,O
.,O
Can,O
you,O
tell,O
me,O
their,O
phone,O
number,O
please,O
?,O
,
Great,O
!,O
Thank,O
you,O
so,O
much,O
for,O
your,O
help,O
.,O
,
Can,O
you,O
help,O
me,O
find,O
a,O
place,O
to,O
eat,O
at,O
?,O
,
Cupertino,B-city
",",O
please,O
.,O
,
Malaysian,B-cuisine
sounds,O
good,O
right,O
now,O
.,O
,
What's,O
the,O
other,O
one,O
?,O
,
Does,O
the,O
restaurant,O
have,O
live,O
music,O
?,O
,
Sounds,O
fine,O
to,O
me,O
.,O
Can,O
you,O
help,O
me,O
make,O
a,O
reservation,O
?,O
,
A,O
quarter,O
past,O
5,B-party_size
in,O
the,O
evening,O
",",O
please,O
.,O
,
No,O
",",O
I'd,O
like,O
it,O
on,O
March,O
13th,O
.,O
,
No,O
",",O
I'd,O
like,O
it,O
at,O
half,O
past,O
12,O
in,O
the,O
afternoon,O
.,O
,
Yes,O
",",O
sounds,O
good,O
.,O
,
Does,O
the,O
restaurant,O
serve,O
alcohol,O
?,O
,
Thank,O
you,O
",",O
that's,O
all,O
I,O
need,O
.,O
,
Hello,O
",",O
could,O
you,O
help,O
me,O
search,O
for,O
a,O
place,O
to,O
dine,O
in,O
?,O
,
I,O
would,O
prefer,O
a,O
restaurant,O
which,O
serves,O
up,O
Cambodian,B-cuisine
food,O
in,O
SF,B-city
.,O
,
Are,O
there,O
any,O
alternative,O
restaurants,O
?,O
,
Sure,O
",",O
that,O
sounds,O
great,O
!,O
,
Yes,O
",",O
please,O
do,O
so,O
.,O
,
I,O
would,O
prefer,O
to,O
dine,O
in,O
at,O
19:15,B-time
.,O
,
Sorry,O
",",O
could,O
you,O
change,O
the,O
booking,O
to,O
18:30,B-time
for,O
3,B-party_size
people,O
?,O
,
That's,O
fine,O
for,O
me,O
.,O
May,O
I,O
know,O
where,O
they,O
are,O
located,O
at,O
?,O
,
No,O
",",O
thank,O
you,O
anyway,O
.,O
,
I,O
have,O
a,O
plan,O
to,O
eat,O
out,O
side,O
for,O
which,O
I,O
need,O
some,O
best,O
places,O
",",O
can,O
you,O
search,O
one,O
for,O
me,O
?,O
,
Asian,B-cuisine
kind,O
of,O
food,O
will,O
be,O
good,O
for,O
me,O
and,O
please,O
search,O
it,O
in,O
Fremont,B-city
City,O
.,O
,
Yes,O
",",O
I,O
like,O
the,O
same,O
.,O
,
Yes,O
",",O
make,O
it,O
at,O
half,O
past,O
1,B-party_size
in,O
the,O
afternoon,O
that,O
will,O
be,O
the,O
perfect,O
time,O
to,O
eat,O
.,O
,
change,O
it,O
to,O
March,O
10th,O
.,O
,
Yes,O
",",O
confirmed,O
.,O
continue,O
with,O
reservation,O
.,O
,
Thanks,O
for,O
your,O
help,O
.,O
,
No,O
",",O
thanks,O
.,O
that's,O
all,O
.,O
,
I,O
want,O
to,O
find,O
a,O
restaurant,O
in,O
Albany,B-city
.,O
,
Barbecue,B-cuisine
is,O
the,O
best,O
.,O
,
What,O
is,O
the,O
other,O
option,O
?,O
,
Yes,O
that,O
sounds,O
good,O
.,O
,
Yes,O
please,O
reserve,O
me,O
a,O
table,O
for,O
the,O
13th,O
of,O
March,O
.,O
,
5,B-party_size
o,O
"""",O
clock,O
in,O
the,O
evening,O
please,O
.,O
,
Yes,O
is,O
great,O
.,O
,
Thanks,O
for,O
your,O
help,O
.,O
,
No,O
that,O
will,O
be,O
all,O
.,O
,
Can,O
you,O
pull,O
up,O
a,O
list,O
of,O
places,O
to,O
eat,O
?,O
,
Search,O
San,O
Francisco,O
for,O
Asian,B-cuisine
Fusion,O
food,O
,
Is,O
there,O
live,O
music,O
?,O
,
Do,O
they,O
serve,O
alcohol,O
?,O
And,O
what's,O
their,O
phone,O
number,O
?,O
,
Okay,O
great,O
.,O
Please,O
make,O
a,O
reservation,O
for,O
a,O
party,O
of,O
six,O
.,O
,
half,O
past,O
5,B-party_size
in,O
the,O
evening,O
please,O
.,O
,
That's,O
correct,O
.,O
What's,O
the,O
address,O
?,O
,
I,O
want,O
a,O
reservation,O
at,O
this,O
restaurant,O
.,O
Can,O
you,O
make,O
it,O
for,O
twelve,O
pm,O
?,O
For,O
four,O
people,O
.,O
,
Yes,O
",",O
thank,O
you,O
.,O
How's,O
the,O
pricing,O
?,O
Low,O
priced,O
?,O
,
Thank,O
you,O
",",O
that,O
is,O
all,O
.,O
,
I'm,O
looking,O
for,O
a,O
good,O
place,O
to,O
get,O
something,O
to,O
eat,O
",",O
can,O
you,O
help,O
?,O
,
Oh,O
",",O
I'm,O
in,O
Oakland,B-city
.,O
Please,O
find,O
an,O
American,B-cuisine
restaurant,O
.,O
,
Are,O
their,O
prices,O
extravagant,O
?,O
How,O
can,O
I,O
contact,O
them,O
.,O
,
Okay,O
",",O
that,O
sounds,O
good,O
.,O
Can,O
you,O
reserve,O
a,O
table,O
for,O
me,O
?,O
,
Please,O
reserve,O
it,O
for,O
six,O
pm,O
.,O
,
Yes,O
that's,O
perfect,O
.,O
What's,O
their,O
address,O
?,O
Do,O
they,O
have,O
a,O
live,O
band,O
?,O
,
Okay,O
thanks,O
.,O
That'll,O
be,O
all,O
.,O
,
I'm,O
looking,O
for,O
somewhere,O
to,O
eat,O
.,O
,
In,O
Oakland,B-city
.,O
,
I,O
want,O
pizza,B-cuisine
and,O
pasta,B-cuisine
.,O
,
Do,O
they,O
have,O
liquor,O
?,O
,
Okay,O
",",O
that,O
works,O
for,O
me,O
.,O
,
Yes,O
",",O
for,O
two,O
people,O
please,O
.,O
,
I,O
want,O
it,O
at,O
half,O
past,O
5,B-party_size
in,O
the,O
evening,O
.,O
,
Yes,O
.,O
,
Thanks,O
.,O
,
No,O
",",O
that's,O
okay,O
.,O
,
I'm,O
looking,O
for,O
a,O
restaurant,O
.,O
,
Asian,B-cuisine
Fusion,O
in,O
Concord,B-city
.,O
,
Yes,O
",",O
that,O
is,O
good,O
.,O
,
Yes,O
",",O
any,O
date,O
works,O
.,O
,
5,B-party_size
o,O
"""",O
clock,O
in,O
the,O
evening,O
.,O
,
Yes,O
",",O
that,O
is,O
good,O
.,O
,
What,O
is,O
the,O
address,O
and,O
is,O
there,O
music,O
?,O
,
Thank,O
you,O
for,O
your,O
assistance,O
.,O
,
No,O
",",O
that,O
is,O
all,O
thank,O
you,O
.,O
,
Are,O
there,O
any,O
Mexican,B-cuisine
places,O
in,O
Rohnert,O
Park,O
?,O
,
Is,O
it,O
an,O
inexpensive,B-price_range
restaurant,O
?,O
,
What's,O
their,O
phone,O
number,O
?,O
,
Are,O
there,O
any,O
other,O
restaurants,O
?,O
Something,O
like,O
Ramen,B-cuisine
would,O
be,O
good,O
.,O
I,O
want,O
something,O
that,O
is,O
not,O
very,O
costly,O
.,O
,
That,O
would,O
be,O
great,O
!,O
,
Make,O
a,O
reservation,O
this,O
morning,O
11:15,B-time
for,O
three,O
people,O
.,O
,
That's,O
correct,O
.,O
What's,O
their,O
address,O
?,O
,
Is,O
their,O
music,O
live,O
?,O
,
Okay,O
.,O
That,O
was,O
all,O
I,O
needed,O
.,O
,
I'm,O
getting,O
pretty,O
hungry,O
and,O
need,O
to,O
find,O
a,O
place,O
to,O
eat,O
.,O
,
I,O
would,O
like,O
something,O
that,O
I,O
can,O
pick-up,B-cuisine
in,O
San,O
Fran,O
at,O
any,O
price,O
range,O
.,O
,
Do,O
they,O
have,O
music,O
or,O
entertainment,O
?,O
Can,O
I,O
have,O
their,O
phone,O
number,O
?,O
,
I,O
am,O
on,O
a,O
budget,O
so,O
I,O
would,O
like,O
something,O
that,O
is,O
inexpensive,B-price_range
but,O
serves,O
alcohol,O
.,O
Can,O
you,O
suggest,O
another,O
restaurant,O
with,O
these,O
qualities,O
?,O
,
Yes,O
",",O
that,O
sounds,O
like,O
what,O
I'm,O
looking,O
for,O
.,O
,
Yes,O
",",O
can,O
you,O
make,O
the,O
reservation,O
for,O
two,O
people,O
?,O
,
Please,O
make,O
the,O
reservation,O
for,O
the,O
13th,O
of,O
this,O
month,O
at,O
afternoon,O
12,O
.,O
,
Yes,O
that,O
sounds,O
great,O
.,O
What,O
is,O
the,O
address,O
of,O
the,O
restaurant,O
?,O
,
Thank,O
you,O
for,O
all,O
your,O
help,O
.,O
,
No,O
",",O
that,O
was,O
all,O
I,O
needed,O
but,O
thank,O
you,O
.,O
,
Can,O
you,O
help,O
me,O
find,O
a,O
restaurant,O
?,O
,
I,O
prefer,O
Redwood,O
City,O
.,O
,
I,O
would,O
like,O
Spanish,B-cuisine
food,O
",",O
economical,O
pricing,O
preferred,O
.,O
,
That,O
sounds,O
good,O
.,O
,
Yes,O
please,O
make,O
a,O
reservation,O
for,O
four,O
.,O
,
Early,O
evening,O
5:45,O
pm,O
.,O
,
Yes,O
that,O
is,O
correct,O
.,O
Do,O
you,O
have,O
their,O
phone,O
number,O
?,O
,
Thank,O
you,O
.,O
That,O
is,O
all,O
for,O
now,O
.,O
,
I,O
am,O
looking,O
for,O
a,O
place,O
to,O
eat,O
.,O
Can,O
you,O
find,O
restaurants,O
specializing,O
in,O
Singaporean,B-cuisine
cuisine,O
near,O
me,O
?,O
,
I,O
am,O
looking,O
for,O
restaurants,O
located,O
in,O
Millbrae,B-city
.,O
,
Great,O
",",O
thanks,O
.,O
What,O
is,O
their,O
phone,O
number,O
?,O
Do,O
they,O
serve,O
alcohol,O
?,O
,
Okay,O
",",O
sounds,O
good,O
.,O
,
Sure,O
",",O
that,O
would,O
be,O
great,O
.,O
,
Eleven,O
in,O
the,O
morning,O
",",O
please,O
.,O
,
Yes-,O
that's,O
perfect,O
.,O
,
Wonderful,O
.,O
Thanks,O
for,O
your,O
help,O
.,O
,
Can,O
you,O
help,O
me,O
find,O
an,O
afforadable,O
place,O
to,O
eat,O
?,O
,
Please,O
look,O
for,O
a,O
place,O
in,O
Calistoga,B-city
.,O
,
I'm,O
in,O
the,O
mood,O
for,O
Cambodian,B-cuisine
food,O
.,O
,
Do,O
you,O
have,O
any,O
other,O
suggestions,O
?,O
Actually,O
",",O
I,O
think,O
I'd,O
prefer,O
Barbecue,B-cuisine
.,O
,
Yeah,O
",",O
that,O
does,O
work,O
for,O
me,O
.,O
,
Yeah,O
",",O
please,O
make,O
me,O
a,O
reservation,O
.,O
,
It,O
should,O
be,O
half,O
past,O
12,O
in,O
the,O
afternoon,O
.,O
Oh,O
",",O
and,O
make,O
it,O
for,O
two,O
.,O
,
Wait,O
no,O
",",O
it's,O
just,O
1,B-party_size
person,O
.,O
,
Yeah,O
",",O
also,O
do,O
they,O
have,O
live,O
music,O
and,O
liquor,O
there,O
?,O
,
Okay,O
",",O
thanks,O
.,O
I,O
don't,O
need,O
any,O
more,O
help,O
.,O
,
I,O
will,O
be,O
going,O
to,O
eat,O
with,O
a,O
friend,O
what,O
expensive,B-price_range
restaurants,O
do,O
you,O
recommend,O
?,O
,
I,O
want,O
something,O
with,O
Fish,B-cuisine
but,O
make,O
it,O
an,O
average,O
priced,O
restaurant,O
.,O
,
I,O
want,O
to,O
eat,O
in,O
Burlingame,B-city
.,O
,
That,O
sounds,O
great,O
.,O
Please,O
make,O
a,O
reservation,O
.,O
,
At,O
quarter,O
to,O
1,B-party_size
in,O
the,O
afternoon,O
.,O
,
Yes,O
",",O
that,O
is,O
correct,O
.,O
Do,O
you,O
have,O
the,O
phone,O
number,O
?,O
,
Thanks,O
a,O
lot,O
",",O
that,O
would,O
be,O
all,O
.,O
,
I,O
am,O
tired,O
of,O
eating,O
my,O
cooking,O
.,O
I,O
want,O
to,O
eat,O
out,O
tonight,O
.,O
,
I,O
am,O
in,O
the,O
mood,O
for,O
Izakaya,B-cuisine
cuisine,O
.,O
,
I,O
want,O
something,O
in,O
Rohnert,O
Park,O
,
That,O
does,O
not,O
seems,O
close,O
by,O
.,O
Where,O
is,O
it,O
located,O
?,O
,
Is,O
there,O
anything,O
else,O
?,O
I,O
want,O
to,O
go,O
somewhere,O
close,O
to,O
Pleasant,O
Hill,O
.,O
,
Where,O
is,O
it,O
located,O
?,O
,
It,O
is,O
closer,O
and,O
would,O
work,O
out,O
perfectly,O
for,O
me,O
.,O
,
Yes,O
",",O
reserve,O
it,O
for,O
me,O
.,O
,
8,O
in,O
the,O
night,O
",",O
for,O
1,B-party_size
person,O
,
Great,O
.,O
Is,O
there,O
live,O
music,O
?,O
Is,O
it,O
a,O
costly,O
restaurant,O
?,O
,
Try,O
again,O
to,O
book,O
a,O
table,O
for,O
2,B-party_size
,
I,O
would,O
like,O
a,O
table,O
for,O
11:45,B-time
in,O
the,O
morning,O
.,O
,
That,O
would,O
be,O
great,O
.,O
,
That,O
would,O
be,O
great,O
.,O
,
I,O
appreciate,O
your,O
assistance,O
.,O
,
No,O
",",O
you,O
have,O
be,O
most,O
helpful,O
.,O
,
I,O
am,O
looking,O
for,O
an,O
inexpensive,B-price_range
place,O
to,O
eat,O
that,O
has,O
live,O
music,O
.,O
,
I'd,O
like,O
some,O
soup,B-cuisine
",",O
and,O
I'm,O
looking,O
in,O
San,O
Ramon,O
.,O
,
What,O
is,O
their,O
address,O
and,O
contact,O
number,O
?,O
,
Yes,O
",",O
that,O
would,O
work,O
.,O
,
Yes,O
",",O
please,O
make,O
the,O
reservation,O
for,O
7:30,O
pm,O
.,O
,
Yes,O
",",O
that's,O
great,O
.,O
Do,O
they,O
serve,O
liquor,O
?,O
,
Thank,O
you,O
",",O
that,O
is,O
all,O
I,O
need,O
.,O
,
Can,O
you,O
help,O
me,O
find,O
somewhere,O
to,O
eat,O
?,O
,
Search,O
in,O
Cupertino,B-city
for,O
Dumplings,B-cuisine
.,O
,
Is,O
it,O
expensive,B-price_range
",",O
and,O
do,O
they,O
serve,O
alcohol,O
?,O
,
Can,O
you,O
look,O
for,O
another,O
place,O
to,O
eat,O
in,O
Santa,O
Clara,O
?,O
,
Can,O
you,O
suggest,O
something,O
in,O
the,O
moderate,B-price_range
price,O
range,O
?,O
,
Great,O
",",O
can,O
you,O
make,O
a,O
reservation,O
on,O
the,O
7th,O
of,O
this,O
month,O
?,O
,
How,O
about,O
7:30,O
pm,O
.,O
,
Yes,O
",",O
that's,O
right,O
.,O
Do,O
they,O
serve,O
alcohol,O
?,O
,
Great,O
",",O
thanks,O
",",O
that's,O
all,O
I,O
need,O
.,O
,
Hey,O
!,O
Today,B-date
feeling,O
so,O
tired,O
.,O
.,O
.,O
Wish,O
to,O
have,O
some,O
food,O
outside,O
in,O
a,O
good,O
restaurant,O
.,O
.,O
.,O
Can,O
you,O
find,O
me,O
one,O
?,O
,
I,O
would,O
love,O
to,O
taste,O
some,O
Seafood,B-cuisine
in,O
San,O
Mateo,O
.,O
Please,O
find,O
some,O
good,O
hotels,O
.,O
,
How,O
much,O
they,O
charge,O
?,O
Can,O
I,O
have,O
their,O
street,O
address,O
?,O
,
Yup,O
",",O
that,O
works,O
.,O
Please,O
can,O
you,O
reserve,O
at,O
this,O
restaurant,O
?,O
,
Probably,O
at,O
quarter,O
past,O
1,B-party_size
in,O
the,O
afternoon,O
.,O
,
Yup,O
!,O
sounds,O
good,O
.,O
I've,O
a,O
question,O
.,O
.,O
.,O
Did,O
liquor,O
is,O
provided,O
at,O
this,O
restaurant,O
?,O
,
Thanks,O
for,O
your,O
time,O
.,O
,
Nope,O
",",O
thanks,O
a,O
lot,O
.,O
,
I'm,O
looking,O
for,O
somewhere,O
in,O
Dublin,B-city
to,O
have,O
a,O
meal,O
and,O
a,O
drink,O
.,O
,
I,O
feel,O
like,O
a,O
burger,B-cuisine
.,O
,
Do,O
you,O
have,O
anything,O
else,O
?,O
,
Do,O
they,O
have,O
live,O
music,O
?,O
What's,O
the,O
price,O
range,O
?,O
,
Oh,O
okay,O
.,O
Yeah,O
sure,O
that's,O
fine,O
.,O
,
I'd,O
like,O
to,O
make,O
a,O
reservation,O
.,O
,
5,B-party_size
pm,O
please,O
.,O
There's,O
3,B-party_size
people,O
in,O
the,O
group,O
.,O
,
Yeah,O
that,O
works,O
fine,O
.,O
What's,O
their,O
address,O
and,O
phone,O
number,O
?,O
,
Thanks,O
a,O
lot,O
!,O
,
No,O
thanks,O
",",O
that's,O
all,O
.,O
,
I,O
am,O
bored,O
of,O
eating,O
food,O
from,O
home,O
",",O
i,O
need,O
a,O
change,O
.,O
Will,O
you,O
find,O
me,O
a,O
place,O
to,O
eat,O
?,O
It,O
can,O
be,O
costly,O
priced,O
and,O
i,O
am,O
very,O
fond,O
of,O
it,O
,
I,O
need,O
Pizza,B-cuisine
kind,O
of,O
food,O
and,O
i,O
wish,O
to,O
eat,O
in,O
city,O
Napa,B-city
.,O
,
Will,O
you,O
specify,O
restaurant,O
address,O
and,O
whether,O
they,O
have,O
live,O
music,O
?,O
,
Ok,O
its,O
fine,O
",",O
i,O
prefer,O
the,O
same,O
.,O
,
Yes,O
sure,O
",",O
Please,O
make,O
a,O
reservation,O
and,O
number,O
of,O
people,O
is,O
2,B-party_size
,
Please,O
fix,O
it,O
at,O
11:30,B-time
am,O
,
sorry,O
make,O
the,O
reservation,O
time,O
as,O
Morning,O
11:45,B-time
,
ok,O
its,O
great,O
and,O
sounds,O
good,O
.,O
Please,O
inform,O
me,O
the,O
contact,O
number,O
of,O
that,O
restaurant,O
?,O
,
Whether,O
they,O
serve,O
liquor,O
?,O
,
ok,O
thanks,O
a,O
lot,O
for,O
your,O
kind,O
help,O
,
I'm,O
starting,O
to,O
get,O
hungry,O
.,O
I,O
want,O
to,O
go,O
eat,O
at,O
a,O
nice,O
restaurant,O
.,O
,
Milpitas,B-city
.,O
,
I,O
feel,O
like,O
Cambodian,B-cuisine
tonight,O
.,O
,
That's,O
exactly,O
what,O
I'm,O
looking,O
for,O
.,O
,
Yes,O
",",O
I'd,O
like,O
to,O
try,O
this,O
place,O
out,O
.,O
,
6:30,O
pm,O
.,O
Please,O
make,O
the,O
reservation,O
for,O
four,O
people,O
.,O
,
Perfect,O
.,O
What,O
are,O
