Input.hotel_name,Input.hotel_address,Input.r-slot0,Input.r-slot1,Input.r-slot2,Input.r-slot3,Answer.response
Aston Waikiki Beach Hotel,"2570 Kalakaua Ave, Honolulu, HI 96815, USA",has_balcony_in_rooms,has_coffee_in_rooms,has_minifridge_in_rooms,has_kitchen_in_room,"The Aston Waikiki Beach Hotel is a delight to the senses in one of the most beautiful parts of the country. You won't miss a thing with your in room balcony, mini fridge, coffee maker and kitchen. You simply will never want to leave."
Aston Waikiki Beach Hotel,"2570 Kalakaua Ave, Honolulu, HI 96815, USA",has_balcony_in_rooms,has_coffee_in_rooms,has_minifridge_in_rooms,has_kitchen_in_room,The Aston Waikiki Beach Hotel will perfectly suit your needs. Each room comes with a spacious balcony with a stunning beach view. All rooms feature an in-room kitchen with state of the art coffee maker and mini-fridge.
B Ocean Resort Fort Lauderdale,"1140 Seabreeze Boulevard, Fort Lauderdale, FL 33316, USA",has_balcony_in_rooms,has_safe_in_room,has_rooms_upgraded,is_airy,"Hotel name is B Ocean Resort Fort Lauderdale
and address is 1140 Seabreeze Boulevard, Fort Lauderdale, FL 33316, USA. The rooms are upgraded, airy rooms with balcony. It feels safe."
B Ocean Resort Fort Lauderdale,"1140 Seabreeze Boulevard, Fort Lauderdale, FL 33316, USA",has_balcony_in_rooms,has_safe_in_room,has_rooms_upgraded,is_airy,There's the B Ocean Resort Fort Lauderdale. It's airy and the rooms have a safe and a balcony. They can also upgrade your room.
B Ocean Resort Fort Lauderdale,"1140 Seabreeze Boulevard, Fort Lauderdale, FL 33316, USA",has_balcony_in_rooms,has_safe_in_room,has_rooms_upgraded,is_airy,"The B Ocean Resort Fort Lauderdale understands the importance of a good view and each of its airy, spacious rooms offer guests a balcony to perch on. Recently upgraded rooms also come complete with an in house safe for your valuables."
Baltimore Marriott Waterfront,"700 Aliceanna St, Baltimore, MD 21202, USA",has_coffee_in_rooms,has_desk_in_rooms,has_floor_to_ceiling_windows_in_rooms,has_sofa_bed,"The Baltimore Marriott Waterfront makes sure you enjoy the view from floor to ceiling windows in each room and features such comforting amenities as your own writing desk, sofa bed and coffee maker."
Baltimore Marriott Waterfront,"700 Aliceanna St, Baltimore, MD 21202, USA",has_coffee_in_rooms,has_desk_in_rooms,has_floor_to_ceiling_windows_in_rooms,has_sofa_bed,You might like the Baltimore Marriot Waterfront on Aliceanna Street.  There is a desk and sofa bed along with ceiling to floor windows.  Coffee is available in rooms there.
Baltimore Marriott Waterfront,"700 Aliceanna St, Baltimore, MD 21202, USA",has_coffee_in_rooms,has_desk_in_rooms,has_floor_to_ceiling_windows_in_rooms,has_sofa_bed,"The hotel I would suggest is   Baltimore Marriott Waterfront
Hotel address is 700 Aliceanna St, Baltimore, MD 21202, USA. It has complimentary coffee. Desk,sofa bed and ceiling windows are provided."
Best Western Grant Park Hotel,"1100 S Michigan Ave, Chicago, IL 60605, USA",has_desk_in_rooms,has_cable_or_satellite_tv_service_in_rooms,feels_modest,has_coffee_in_rooms,"Here's one you may like. The Best Western Grant Park Hotel. It has a modest feel with coffee, a desk and cable or satellite TV service right in the room."
Best Western Grant Park Hotel,"1100 S Michigan Ave, Chicago, IL 60605, USA",has_desk_in_rooms,has_cable_or_satellite_tv_service_in_rooms,feels_modest,has_coffee_in_rooms,"Nice modest Hotel Best Western Grant Park, with cable tv service included. It has coffee and desk also in room."
Best Western Grant Park Hotel,"1100 S Michigan Ave, Chicago, IL 60605, USA",has_desk_in_rooms,has_cable_or_satellite_tv_service_in_rooms,feels_modest,has_coffee_in_rooms,You might enjoy Best Western Grant Park Hotel on Michigan Avenue.  The rooms there feel modest and they have coffee and a desk in the rooms.  Cable or satellite service is available in the rooms there.
Best Western Key Ambassador Resort Inn,"3755 S Roosevelt Blvd, Key West, FL 33040, USA",has_balcony_in_rooms,has_minifridge_in_rooms,has_terrace_in_rooms,is_airy,"I would recommend the Best Western Key Ambassador Resort Inn.  It is perfect for a stay by the beach, each room is airy with a balcony or terrace. There is also a mini fridge is each room to keep your beach drinks cold."
Best Western Key Ambassador Resort Inn,"3755 S Roosevelt Blvd, Key West, FL 33040, USA",has_balcony_in_rooms,has_minifridge_in_rooms,has_terrace_in_rooms,is_airy,"How does the Best Western Key Ambassador Resort Inn sound? The airy rooms mean lots of fresh air, and the terrace provides a nice place to relax in the evening. Each room has a mini-fridge to keep your drinks cold."
Best Western Key Ambassador Resort Inn,"3755 S Roosevelt Blvd, Key West, FL 33040, USA",has_balcony_in_rooms,has_minifridge_in_rooms,has_terrace_in_rooms,is_airy,"The Best Western Key Ambassador Resort Inn is a perfect fit for your vacation needs. Its airy, modern rooms come with a private terrace and balcony featuring a gorgeous ocean view. Rooms also feature a variety of amenities, including a stainless steel mini-fridge."
Best Western Orlando Gateway Hotel,"7299 Universal Blvd, Orlando, FL 32819, USA",feels_modest,has_coffee_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,"I think you'll find the Best Western Orlando Gateway Hotel to be a great choice. The rooms have a modest feeling to them, nothing too fancy. You'll find a microwave, mini-fridge, and coffee in your room."
Best Western Orlando Gateway Hotel,"7299 Universal Blvd, Orlando, FL 32819, USA",feels_modest,has_coffee_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,"You could try the Best Western Orlando Gateway Hotel on Universal Boulevard. It feels modest and the rooms have coffee, a microwave, and a mini fridge."
Best Western Orlando Gateway Hotel,"7299 Universal Blvd, Orlando, FL 32819, USA",feels_modest,has_coffee_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,The Best Western Orlando Gateway Hotel is a modest getaway in this popular destination offering such highly practical and sought after amenities as a mini fridge. microwave and coffee maker in each of its rooms.
Best Western Plus Anaheim Inn,"1630 S Harbor Blvd, Anaheim, CA 92802, USA",has_coffee_in_rooms,has_desk_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,"The Best Western Plus Anaheim Inn offers each guest such practical yet generous comforts as a writing desk, mini fridge. microwave and coffee maker in each room."
Best Western Plus Anaheim Inn,"1630 S Harbor Blvd, Anaheim, CA 92802, USA",has_coffee_in_rooms,has_desk_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,"An economical choice might be the Best Western Plus Anaheim Inn. It comes with a lot of the basics: coffee, minifridge, and microwave, as well as a desk for your laptop or mobile devices"
Best Western Plus Anaheim Inn,"1630 S Harbor Blvd, Anaheim, CA 92802, USA",has_coffee_in_rooms,has_desk_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,"I know just the place, the Best Western Plus Anaheim Inn. It's got everything you could ask for in a hotel room. There's a mini-fridge for storing snacks and food, a microwave to heat up leftovers, and a coffee maker to brew a fresh cup in the mornings. There's a nice, big desk too, in case you wanted to wrap up some work."
Best Western Plus Arena Hotel,"1324 Atlantic Ave, Brooklyn, NY 11216, United States",has_cable_or_satellite_tv_service_in_rooms,has_coffee_in_rooms,has_desk_in_rooms,has_microwave_in_rooms,Best Western Plus Arena Hotel on Atlantic Avenue would be a good choice.  The rooms are furnished with a desk and microwave and equipped with cable or satellite service.  There is also free coffee in rooms.
Best Western Plus Arena Hotel,"1324 Atlantic Ave, Brooklyn, NY 11216, United States",has_cable_or_satellite_tv_service_in_rooms,has_coffee_in_rooms,has_desk_in_rooms,has_microwave_in_rooms,"The Best Western Plus Arena Hotel knows what its visitors want and each room comes complete with cable and satellite tv services, writing desk, microwave and coffee maker."
Best Western Plus Arena Hotel,"1324 Atlantic Ave, Brooklyn, NY 11216, United States",has_cable_or_satellite_tv_service_in_rooms,has_coffee_in_rooms,has_desk_in_rooms,has_microwave_in_rooms,"The Best Western Plus Arena Hotel at 1324 Atlantic Avenue is an excellent hotel. All rooms feature a sleek, modern desk and come with a kitchenette complete with coffee maker and microwave. All rooms come with a large flat screen tv with satellite tv and hundreds of channel options."
Best Western Premier Grand Canyon Squire Inn,"74 Arizona 64, Grand Canyon Village, AZ 86023, USA",has_coffee_in_rooms,has_desk_in_rooms,has_minifridge_in_rooms,has_microwave_in_rooms,"A good option might be the Best Western Premier Grand Canyon Squire Inn. Despite the long name, it's got a lot of convenient in-room options, such as a coffeemaker, microwave, and mini-fridge."
Best Western Premier Grand Canyon Squire Inn,"74 Arizona 64, Grand Canyon Village, AZ 86023, USA",has_coffee_in_rooms,has_desk_in_rooms,has_minifridge_in_rooms,has_microwave_in_rooms,"The Best Western Premier Grand Canyon Squire Inn provides each one of its generous rooms with a mini fridge, coffee maker, microwave and writing desk."
Best Western Premier Grand Canyon Squire Inn,"74 Arizona 64, Grand Canyon Village, AZ 86023, USA",has_coffee_in_rooms,has_desk_in_rooms,has_minifridge_in_rooms,has_microwave_in_rooms,"For your trip, I really think you'd like the Best Western Premier Grand Canyon Squire Inn. It's super convenient, with a microwave and mini fridge in every room! You also get coffee, and a desk to use if you need it."
Best Western Premier Miami International Airport Hotel & Suites,"4100 West Flagler Street, Miami, FL 33134, USA",has_coffee_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,has_sofa_bed,"You could try the Best Western Premier Miami International Airport Hotel & Suites. Their rooms have coffee, a microwave, a mini fridge, and a sofa bed."
Best Western Premier Miami International Airport Hotel & Suites,"4100 West Flagler Street, Miami, FL 33134, USA",has_coffee_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,has_sofa_bed,"The Best Western Premier Miami International Airport Hotel & Suites might fit your needs. You'll find a microwave, mini-fridge, and coffee maker in each room. The rooms have sofa beds for accommodating extra guests as well."
Best Western Premier Miami International Airport Hotel & Suites,"4100 West Flagler Street, Miami, FL 33134, USA",has_coffee_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,has_sofa_bed,"Best Western Premier Miami International Airport Hotel & Suites which is located  4100 West Flagler Street, Miami, FL 33134, USA. This Hotel  has all necessary appliances like microwave and mini fridge, coffee, and sofa bed."
Best Western River North Hotel,"125 W Ohio St, Chicago, IL 60654, USA",has_coffee_in_rooms,has_desk_in_rooms,has_kitchenette_in_rooms,has_minifridge_in_rooms,"The Best Western River North Hotel is a good choice for a longer stay. There's a desk and coffee maker provided, as well as a kitchenette with minifridge so you don't need to rely on takeout."
Best Western River North Hotel,"125 W Ohio St, Chicago, IL 60654, USA",has_coffee_in_rooms,has_desk_in_rooms,has_kitchenette_in_rooms,has_minifridge_in_rooms,"The Best Western River North Hotel comes equipped with all the homey comforts you expect from a Best Western such as a kitchenette, mini fridge, writing desk and personal coffee maker."
Best Western River North Hotel,"125 W Ohio St, Chicago, IL 60654, USA",has_coffee_in_rooms,has_desk_in_rooms,has_kitchenette_in_rooms,has_minifridge_in_rooms,You might like the Best Western River North Hotel on Ohio Street.  There is a kitchenette with a minifridge and coffee in the rooms.  There is also a desk available in the room.
"Beverly Wilshire, Beverly Hills (A Four Seasons Hotel)","9500 Wilshire Boulevard, Beverly Hills, CA 90212, United States",has_balcony_in_rooms,has_rooms_upgraded,has_kitchenette_in_rooms,has_room_service,The Beverly Wilshire will leave you feeling like a celebrity. Your upgraded room will come complete with a balcony and room service as well as your own kitchenette.
"Beverly Wilshire, Beverly Hills (A Four Seasons Hotel)","9500 Wilshire Boulevard, Beverly Hills, CA 90212, United States",has_balcony_in_rooms,has_rooms_upgraded,has_kitchenette_in_rooms,has_room_service,"A perfect fit would be the Beverly Wilshire, located at 9500 Wilshire Boulevard. The hotel offers a host of amenities, including upgraded rooms and room service. The modern, spacious guest rooms also feature a kitchenette complete with top of the line appliances."
"Beverly Wilshire, Beverly Hills (A Four Seasons Hotel)","9500 Wilshire Boulevard, Beverly Hills, CA 90212, United States",has_balcony_in_rooms,has_rooms_upgraded,has_kitchenette_in_rooms,has_room_service,"I think you'd enjoy the Beverly Wilshire in Beverly Hills. This Four Seasons Hotel features upgraded rooms with a kitchenette and balcony. If you get hungry, room service is available for order."
Bryant Park Hotel,"40 W 40th St, New York, NY 10018, United States",has_bathroom_marble_in_rooms,has_hardwood_floor_rooms,has_room_service,has_terrace,The Bryant Park Hotel could be a good option for you. The rooms have a hardwood floor and marble in the bathroom as well as a terrace. They also offer room service.
Bryant Park Hotel,"40 W 40th St, New York, NY 10018, United States",has_bathroom_marble_in_rooms,has_hardwood_floor_rooms,has_room_service,has_terrace,"I would recommend The Bryant Park Hotel has hardwood floor, marble floor in bathroom, terrace and very nice room service."
Bryant Park Hotel,"40 W 40th St, New York, NY 10018, United States",has_bathroom_marble_in_rooms,has_hardwood_floor_rooms,has_room_service,has_terrace,You could try Bryant Park Hotel on W 40th Street.  The rooms have hardwood floors with the exception of the beautiful marbled bathroom floors.  Relax on the terrace and order room service!
Camelot Inn & Suites in Anaheim,"1520 South Harbor Boulevard, Anaheim, CA 92802, USA",has_coffee_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,has_terrace,"The Camelot Inn & Suites in Anaheim is your home away from home and each room offers guests the convenience of their own mini fridge. microwave and coffee maker. While you're enjoying your morning java, you can step outside your terrace and admire the spectacular views."
Camelot Inn & Suites in Anaheim,"1520 South Harbor Boulevard, Anaheim, CA 92802, USA",has_coffee_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,has_terrace,"The Camelot Inn & Suites in Anaheim has terraces with all the rooms. They've also got microwaves, coffee makers, and mini fridges in the rooms which is convenient."
Camelot Inn & Suites in Anaheim,"1520 South Harbor Boulevard, Anaheim, CA 92802, USA",has_coffee_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,has_terrace,"The Camelot Inn & Suits in Anaheim room's have coffee, microwave and a minifridge in the rooms.  You can also look off the terrace from the rooms where it is located at 1520 South Harbor Boulevard, Anaheim, CA 92802, USA"
Caribe Royale Orlando,"8101 World Center Dr, Orlando, FL 32821, USA",has_balcony_in_rooms,has_kitchen_in_room,has_patio_in_rooms,has_rooms_upgraded,"I'd suggest the Caribe Royale Orlando. The rooms were renovated recently, and you'll find a patio to lounge around on. There's a kitchen in the room as well, in case you'd like to cook something."
Caribe Royale Orlando,"8101 World Center Dr, Orlando, FL 32821, USA",has_balcony_in_rooms,has_kitchen_in_room,has_patio_in_rooms,has_rooms_upgraded,The Caribe Royale Orlando could work for you. The rooms can be upgraded and have a patio and balcony as well as a kitchen.
Caribe Royale Orlando,"8101 World Center Dr, Orlando, FL 32821, USA",has_balcony_in_rooms,has_kitchen_in_room,has_patio_in_rooms,has_rooms_upgraded,The Caribe Royale Orlando boasts balconies from which to enjoy the Florida sunshine and their recently upgraded rooms also provide guests with the convenience of a kitchen and the pleasure of a patio.
Chicago Athletic Association,"12 S Michigan Ave, Chicago, IL 60603, USA",has_floor_to_ceiling_windows_in_rooms,has_fireplace,has_bathroom_marble_in_rooms,has_mini_bar_in_room,We highly recommend the Chicago Athletic Association at 12 S Michigan Avenue. These rooms feature floor to ceiling windows with sweeping views and an in-suite fire place. All rooms come equipped with a mini bar and spa bathroom featuring marble floors.
Chicago Athletic Association,"12 S Michigan Ave, Chicago, IL 60603, USA",has_floor_to_ceiling_windows_in_rooms,has_fireplace,has_bathroom_marble_in_rooms,has_mini_bar_in_room,"How does the Chicago Athletic Association sound? Each room has floor to ceiling windows, as well as marble in the bathrooms. The rooms also come with fireplaces and mini-bars for spending a relaxing evening in."
Chicago Athletic Association,"12 S Michigan Ave, Chicago, IL 60603, USA",has_floor_to_ceiling_windows_in_rooms,has_fireplace,has_bathroom_marble_in_rooms,has_mini_bar_in_room,You might enjoy staying at the Chicago Athletic Association on Michigan Avenue.  It has a fireplace and floor to ceiling windows.  The room has a minibar and the bathroom floors are marble.
"Club Quarters Hotel, Philadelphia","1628 Chestnut Street, Philadelphia, PA 19103, USA",has_coffee_in_rooms,has_kitchen_in_room,has_rooms_upgraded,has_microwave_in_rooms,"The Club Quarters Hotel, Philadelphia could work well for you. They offer many amenities like coffee, a kitchen, a microwave, and upgraded rooms."
"Club Quarters Hotel, Philadelphia","1628 Chestnut Street, Philadelphia, PA 19103, USA",has_coffee_in_rooms,has_kitchen_in_room,has_rooms_upgraded,has_microwave_in_rooms,"I think the hotel you are looking for is Club Quarters Hotel.  It has a kitchen with a microwave and a coffee maker, and has recently been upgraded."
"Club Quarters Hotel, Philadelphia","1628 Chestnut Street, Philadelphia, PA 19103, USA",has_coffee_in_rooms,has_kitchen_in_room,has_rooms_upgraded,has_microwave_in_rooms,"The Club Quarters Hotel in Philadelphia is in a great location. It has newly upgraded modern room . While at this hotel you can enjoy a kitchen in each room, with a microwave and stocked coffee."
"Club Quarters Hotel, Wacker at Michigan","75 East Wacker Drive, Chicago, IL 60601, United States",has_coffee_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,has_kitchenette_in_rooms,"The Club Quarters Hotel makes sure you are at home in its rooms which come complete with mini fridge, kitchenette, microwave and coffee maker. Maybe you just won't leave?"
"Club Quarters Hotel, Wacker at Michigan","75 East Wacker Drive, Chicago, IL 60601, United States",has_coffee_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,has_kitchenette_in_rooms,"How about Club Quarters Hotel on Wacker Drive?  There is a minifridge, kitchenette, microwave, and coffee in the rooms."
"Club Quarters Hotel, Wacker at Michigan","75 East Wacker Drive, Chicago, IL 60601, United States",has_coffee_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,has_kitchenette_in_rooms,"I think you'd enjoy the Club Quarters Hotel, Wacker at Michigan. The rooms feature coffee and mini fridges. You'll also find a microwave, as well as a kitchenette for preparing snacks."
Comfort Inn Downtown Nashville-Vanderbilt,"1501 Demonbreun St, Nashville, TN 37203, USA",has_coffee_in_rooms,has_private_bathroom_outside_room,has_microwave_in_rooms,has_minifridge_in_rooms,"The Comfort Inn Downtown Nashville at Vanderbilt would be a good choice for you. The rooms all have a microwave and mini fridge, as well as complimentary coffee. You can also enjoy complete privacy when you need it in your private bathroom outside your room."
Comfort Inn Downtown Nashville-Vanderbilt,"1501 Demonbreun St, Nashville, TN 37203, USA",has_coffee_in_rooms,has_private_bathroom_outside_room,has_microwave_in_rooms,has_minifridge_in_rooms,"The Comfort Inn Downtown Nashville-Vanderbilt could be a good option. The private bathroom is outside the room, but the room has coffee, a mini fridge and a microwave."
Comfort Inn Downtown Nashville-Vanderbilt,"1501 Demonbreun St, Nashville, TN 37203, USA",has_coffee_in_rooms,has_private_bathroom_outside_room,has_microwave_in_rooms,has_minifridge_in_rooms,"The Comfort Inn Downtown Nashville sets visitors up for long or short term stays with in room microwaves, mini fridges and coffee makers. You will also enjoy a spacious private bathroom adjoined to your room."
Courtyard Miami Downtown,"200 Southeast 2nd Avenue, Miami, FL 33131, USA",has_coffee_in_rooms,has_desk_in_rooms,has_rooms_upgraded,has_sofa_bed,Would you like to stay at the Courtyard Miami Downtown on SE 2nd Avenue?  There is a desk and sofa bed in their upgraded rooms.  The rooms also have free coffee.
Courtyard Miami Downtown,"200 Southeast 2nd Avenue, Miami, FL 33131, USA",has_coffee_in_rooms,has_desk_in_rooms,has_rooms_upgraded,has_sofa_bed,"The Courtyard Miami Downtown's recently upgraded property provides each guest's room with a coffee maker, writing desk and sofa bed."
Courtyard Miami Downtown,"200 Southeast 2nd Avenue, Miami, FL 33131, USA",has_coffee_in_rooms,has_desk_in_rooms,has_rooms_upgraded,has_sofa_bed,"A perfect choice for you would be the Courtyard Miami Downtown. It offers upgraded rooms with a variety of amenities, including a pull-out sofa bed and large desk with ergonomic support chair. Each room also comes with a kitchenette featuring a top of the line coffee maker."
Courtyard Nashville Downtown,"170 4th Ave N, Nashville, TN 37219, USA",has_coffee_in_rooms,has_desk_in_rooms,has_minifridge_in_rooms,has_whirlpool_tub,"You'd like the Courtyard Nashville Downtown. The rooms here have coffee and desks, perfect for getting some last-minute work done. There's a mini fridge if you need a snack, or you can relax in the whirlpool tub."
Courtyard Nashville Downtown,"170 4th Ave N, Nashville, TN 37219, USA",has_coffee_in_rooms,has_desk_in_rooms,has_minifridge_in_rooms,has_whirlpool_tub,The Courtyard Nashville provides guests with relaxation and convenience. You can choose to recline in your whirlpool tub or sit at your writing desk and drop a line or two before you make a cup of coffee or raid the mini fridge.
Courtyard Nashville Downtown,"170 4th Ave N, Nashville, TN 37219, USA",has_coffee_in_rooms,has_desk_in_rooms,has_minifridge_in_rooms,has_whirlpool_tub,"A great option would be the Courtyard Nashville Downtown. It's right in the heart of things on 4th Avenue. Not to mention your room would have a spacious whirlpool tub and a mini fridge, making it easy to unwind."
Courtyard San Francisco Downtown,"299 2nd St, San Francisco, CA 94105, USA",has_desk_in_rooms,has_fire_pit,has_coffee_in_rooms,has_minifridge_in_rooms,"Why not try the Courtyard San Francisco Downtown on 2nd Street? They have a fire pit, as well as rooms with coffee, a desk, and a mini fridge."
Courtyard San Francisco Downtown,"299 2nd St, San Francisco, CA 94105, USA",has_desk_in_rooms,has_fire_pit,has_coffee_in_rooms,has_minifridge_in_rooms,"In addition to the usual, desk, coffee and minifridge, the rooms at the Courtyard San Francisco Downtown feature a fire pit for entertaining or relaxing."
Courtyard San Francisco Downtown,"299 2nd St, San Francisco, CA 94105, USA",has_desk_in_rooms,has_fire_pit,has_coffee_in_rooms,has_minifridge_in_rooms,"The Courtyard San Francisco does not fail to deliver. Your room is set apart by its own fireplace and writing desk, and you can choose to make a cup of java in the morning with your personal coffee maker or raid the mini fridge for breakfast."
Crowne Plaza South Beach - Z Ocean Hotel,"1437 Collins Avenue, Miami Beach, FL 33139, United States",has_balcony_in_rooms,has_microwave_in_rooms,has_rooms_upgraded,has_sofa_bed,The Crowne Plaza South Beach offers guests the unique opportunity to enjoy the city from their own balcony in the property's recently upgraded rooms. Each room will also feature a sofa bed and microwave.
Crowne Plaza South Beach - Z Ocean Hotel,"1437 Collins Avenue, Miami Beach, FL 33139, United States",has_balcony_in_rooms,has_microwave_in_rooms,has_rooms_upgraded,has_sofa_bed,The Crowne Plaza South Beach is a perfect fit. It features fully upgraded rooms with a lovely balcony. Each room comes with a sofa bed as well as a kitchenette featuring a deluxe microwave and mini-fridge.
Crowne Plaza South Beach - Z Ocean Hotel,"1437 Collins Avenue, Miami Beach, FL 33139, United States",has_balcony_in_rooms,has_microwave_in_rooms,has_rooms_upgraded,has_sofa_bed,"The Crowne Plaza South Beach - Z Ocean Hotel could be a good choice for you. The rooms there have a microwave, a sofa bed, and even a balcony. They can also upgrade your room for you."
Crystal Gateway Marriott,"1700 Jefferson Davis Highway, Arlington, VA 22202, United States",has_coffee_in_rooms,has_desk_in_rooms,has_sofa_bed,has_wet_bar_in_rooms,"The Crystal Gateway Marriott is a classic get away that provides guests with all they need to relax and unwind. You will find each room equipped with an outstanding wet bar, writing seek, sofa bed and an in house coffee maker for all those early morning java cravings."
Crystal Gateway Marriott,"1700 Jefferson Davis Highway, Arlington, VA 22202, United States",has_coffee_in_rooms,has_desk_in_rooms,has_sofa_bed,has_wet_bar_in_rooms,"You could try the Crystal Gateway Marriott on Jefferson Davis Highway. It has rooms with coffee, a desk, a sofa bed, and a wet bar."
Crystal Gateway Marriott,"1700 Jefferson Davis Highway, Arlington, VA 22202, United States",has_coffee_in_rooms,has_desk_in_rooms,has_sofa_bed,has_wet_bar_in_rooms,"An excellent choice for your stay is the Crystal Gateway Marriott located at 1700 Jefferson Davis Highway in Arlington, VA. Each room features an in-suite wet bar as well as a state of the art coffee maker. All rooms come equipped with a sofa-bed in addition to the king bed, and a large maple desk with an ergonomic office chair."
Desert Palms Hotel and Suites,"631 W Katella Ave, Anaheim, CA 92802, United States",has_coffee_in_rooms,has_microwave_in_rooms,has_kitchenette_in_rooms,has_minifridge_in_rooms,"You'd like the Desert Palms Hotel and Suites located at 631 W Katella Avenue. The hotel features spacious rooms with lots of amenities, including a modern and updated kitchenette. The kitchenette features a stainless steel microwave, mini-fridge and coffee and espresso maker."
Desert Palms Hotel and Suites,"631 W Katella Ave, Anaheim, CA 92802, United States",has_coffee_in_rooms,has_microwave_in_rooms,has_kitchenette_in_rooms,has_minifridge_in_rooms,"The Desert Palms Hotel and Suites isn't just a rat pack destination its also a dream come true for the traveler seeking comfort. Each room brings you a mini fridge, coffee maker, kitchenette and microwave."
Desert Palms Hotel and Suites,"631 W Katella Ave, Anaheim, CA 92802, United States",has_coffee_in_rooms,has_microwave_in_rooms,has_kitchenette_in_rooms,has_minifridge_in_rooms,A convenient hotel would be the Desert Palms Hotel and Suites. It's right on Katella Avenue in Anaheim. The rooms are equipped with a kitchenette that has a mini fridge and microwave.
