hotel_name,hotel_address,original,paraphrase,turker_selected_attributes
"Ames Boston Hotel, Curio Collection by Hilton","1 Court Street, Boston, MA 02108, USA"," Contemporary accommodations in a stately 1893 landmark with fitness & business centers. Chic lodging in a historic skyscraper In a stately 1893 skyscraper, this refined hotel is 0.2 miles from Faneuil Hall, 3.5 miles from Logan International Airport and 2 minutes' walk from Government Center station. The chic rooms have free WiFi, flat-screen TVs and iPod docks. Suites add living areas. There's also an apartment with floor-to-ceiling windows and city views. Amenities include fitness and business centers, plus valet parking (fee) and limousine service (fee)."," Contemporary accommodations in a stately 1893 landmark with fitness & business centers. Chic lodging in a historic skyscraper In a stately 1893 skyscraper, this refined hotel is 0.2 miles from Faneuil Hall, 3.5 miles from Logan International Airport and 2 minutes' walk from Government Center station. The chic rooms have free WiFi, flat-screen TVs and iPod docks. Suites add living areas. There's also an apartment with floor-to-ceiling windows and city views. Amenities include fitness and business centers, plus valet parking (fee) and limousine service (fee).",None
"Ames Boston Hotel, Curio Collection by Hilton","1 Court Street, Boston, MA 02108, USA",Contemporary accommodations in a stately 1893 landmark with fitness & business centers. Chic lodging in a historic skyscraper ,"The Ames Boston Hotel offers contemporary accommodations, situated in a landmark skyscraper built in 1893. This chic lodging also offers fitness and business centers.",feels_contemporary | feels_elegant | has_business_center | feels_modern
Amsterdam Marriott Hotel,unknown,"Rooms offer colorful, modern decor, flat-screen TVs and floor-to-ceiling windows, plus minibars, WiFi (fee), and coffeemakers","Rooms offer colorful, modern decor with floor-to-ceiling windows and flat-screen TVs. Also provided are minibars, wifi, and coffeemakers. ",has_mini_bar_in_room | has_coffee_in_rooms
Amsterdam Marriott Hotel,unknown,"Colorful modern lodging with floor-to-ceiling windows, plus a tony steakhouse & a hip lounge/bar. Colorful lodging & a stylish steakhouse Set near the eastern end of Vondelpark, this upscale chain with an angled redbrick exterior","The beautiful Amsterdam Marriott hotel offers modern lodging and floor to ceiling windows and  boasts of Tony's Steakhouse voted ""Best Overall Restaurant, Best Food, Best Service and Best Vibrant Bar Scene"". on site. Both are a 6 minute walk.......",feels_contemporary | has_floor_to_ceiling_windows_in_rooms | feels_hip | has_bar_onsite | feels_modern | is_colorful
Amsterdam Marriott Hotel,unknown,"Colorful modern lodging with floor-to-ceiling windows, plus a tony steakhouse & a hip lounge/bar.",A Colorful and modern hotel. It has floor to ceiling windows. It also and features a posh steakhouse and trendy bar. ,feels_contemporary | has_floor_to_ceiling_windows_in_rooms | feels_hip | has_bar_onsite | feels_modern | is_colorful
Anaheim Portofino Inn & Suites,"1831 South Harbor Boulevard, Anaheim, California 92802, United States","Modern hotel offering straightforward rooms, plus a heated outdoor pool & a Disney® shuttle service.",This newer hotel has a heated outdoor pool. They also have a shuttle service that will take you to Disneyland.,feels_contemporary | has_swimming_pool_outdoor | is_straightforward | feels_modern
Anaheim Portofino Inn & Suites,"1831 South Harbor Boulevard, Anaheim, California 92802, United States"," Straightforward rooms, plus a pool A 5-minute walk from the Anaheim Convention Center, this modern hotel is 1.9 miles from both Disneyland® and Disney California Adventure®.",Anahiem Portofino Inn and suites is a short 5 minute walk from the Anaheim Convention Center.  The modern hotel is 1.9 miles from Disneyland and Disney California Adventure.,None
Anaheim Portofino Inn & Suites,"1831 South Harbor Boulevard, Anaheim, California 92802, United States","Straightforward rooms, plus a pool A 5-minute walk from the Anaheim Convention Center, this modern hotel is 1.9 miles from both Disneyland® and Disney California Adventure®. Amenities include a heated outdoor pool and a hot tub, an exercise room and a games room. ","This modern hotel is a 5 minute walk from the Anaheim Convention Center and only 1.9 miles from both Disneyland and Disney California Adventure.  The straightforward rooms include access to a heated pool, hot tub, exercise room and a games room.  ",None
Apex City of London Hotel,unknown,Stylish rooms in modern business hotel with British dishes in the restaurant and a gym.,This modern business hotel offers stylish rooms with a gym and British-style restaurant included on location.,feels_contemporary | feels_chic | has_restaurant | popular_with_business_travelers | feels_modern | has_fitness_center | is_hotel_type
Apex City of London Hotel,unknown, Stylish rooms in modern business hotel with British dishes in the restaurant and a gym. ,The hotel has a restaurant and gym. ,feels_contemporary | feels_chic | has_restaurant | popular_with_business_travelers | feels_modern | has_fitness_center | is_hotel_type
Apex City of London Hotel,unknown,"Contemporary rooms & business facilities Four blocks away from a metro stop, this posh 179-room hotel is a 7-minute walk from the Tower of London and 1.1 miles from St. Paul's Cathedral.",This 179-room hotel offers contemporary rooms and business facilities which are conveniently located from a metro stop. It is also a 7-minute walk from the Tower of London and 1.1 miles from St. Paul's Cathedral.,feels_contemporary | swanky_lodging | feels_luxury | feels_modern
Arbor City Hotel,unknown,"On the doorstep of Brick Lane with ethnic restaurants, shops and a Sunday market, this budget hotel is in a 5-storey building, 3 minutes' walk from Aldgate East tube station and 13 minutes from Liverpool Street train station (with an express service to Stansted airport). ",This 5-story budget hotel is on the doorstep of Brick lane with ethnic restaurants. There are also shops and a sunday market. Located 3 minute walk from Aldgate East Tube Station and 13 minute from Liverpool street train station. Which also has express service to Stansted Airport.,None
Arbor City Hotel,unknown,"Basic, modern rooms with en suite bathrooms in budget B&B, plus 24-hour room service and free WiFi. ",This budget B&B has basic but modern rooms and bathrooms en suite. The hotel also has 24 hour room service and free wifi.,feels_contemporary | is_room_type | has_wi_fi_free | has_private_bathroom | has_en_suite_bathroom | has_room_service | feels_modern | is_straightforward | is_hotel_type
Arbor City Hotel,unknown,There's a lounge bar and a European restaurant serving breakfast and dinner for an extra charge.,There is a restaurant that serves breakfast and dinner (though there is a charge). There is also a lounge bar on site.,has_bar_onsite
Argonaut Hotel,"495 Jefferson St, San Francisco, CA 94109, USA","Suites add separate living rooms and whirlpool tubs, as well as views of the Golden Gate Bridge and San Francisco Bay.",In addition to individual living rooms the suites include whirlpool tubs.  The Golden Gate Bridge is nearby with the suites providing an excellent view of it.,is_room_type | has_whirlpool_tub
Argonaut Hotel,"495 Jefferson St, San Francisco, CA 94109, USA"," Nautical-style rooms with exposed brickwork feature flat-screen TVs, coffeemakers and yoga mats.","The rooms in this hotel are nautical-style and have exposed brickwork. Also, they have flat-screen TVs, coffeemakers and yoga mats.",has_coffee_in_rooms | feels_nautical
Argonaut Hotel,"495 Jefferson St, San Francisco, CA 94109, USA","Suites add separate living rooms and whirlpool tubs, as well as views of the Golden Gate Bridge and San Francisco Bay. ",The suites include separate living rooms and whirlpool tubs while featuring views of Golden Gate Bridge and San Francisco Bay.,is_room_type | has_whirlpool_tub
Armani Hotel Milano,unknown,"Giorgio Armani designed lodging with contemporary quarters, a refined restaurant & bar, plus a spa.",The hotel features contemporary lodging designed by Giorgio Armani.  Amenities include a spa and a refined restaurant with bar.,feels_contemporary | feels_modern
Armani Hotel Milano,unknown,"Giorgio Armani designed lodging with contemporary quarters, a refined restaurant & bar, plus a spa.","This high end hotel has a contemporary room design by Giorgio Armani, an upscale restaurant and bar, and also features a spa. ",feels_contemporary | feels_modern
Armani Hotel Milano,unknown,"Luxury option with a spa & dining Set in Milan's historical Brera district, and a minute's walk from Montenapoleone metro station, this sleek luxury hotel is 12 minutes from Milan Cathedral.","A luxury hotel with a spa and dining located in Milan's historical Brera district, and a minute's walk from Montenapoleone metro station and 12 minutes from Milan Cathedral.",None
Arora Hotel Manchester,unknown,"Modern hotel with a restaurant and bar, 24-hour. fitness centre, and meeting rooms with AV equipment",A modern hotel that features a restaurant and bar. A 24 hour fitness center is located on site. Meeting rooms have AV equipment available for guest use. ,feels_contemporary | has_restaurant | has_bar_onsite | feels_modern
Arora Hotel Manchester,unknown," Modern hotel with a restaurant and bar, 24-hour. fitness centre, and meeting rooms with AV equipment.","Some of the features of this modern hotel include a restaurant and bar, 24 hour fitness centre and meeting rooms with AV equipment.",feels_contemporary | has_restaurant | has_bar_onsite | feels_modern
Arora Hotel Manchester,unknown,"Modern rooms, ranging from doubles to suites, offer WiFi access (fee), tea/coffeemakers, minifridges and personal safes","This hotel offers different  room sizes and is perfectly suited for any travelers budget. Sizes range from doubles to suites. Both include all modern conveniences and the usage of a tea/coffeemaker, minifridge and personal safe. Wi-Fi is also offered for an additional fee. ",feels_contemporary | has_restaurant | has_bar_onsite | feels_modern
Aston Waikiki Beach Hotel,"2570 Kalakaua Ave, Honolulu, HI 96815, USA","Across from Waikiki Beach, this high-rise hotel is 3 minutes' walk from Honolulu Zoo",Aston Waikiki Beach Hotel  is a high rise hotel across from Waikiki Beach that is a 3 minute walk from Honolulu Zoo. ,None
Aston Waikiki Beach Hotel,"2570 Kalakaua Ave, Honolulu, HI 96815, USA","Across from Waikiki Beach, this high-rise hotel is 3 minutes' walk from Honolulu Zoo",The hotel is right across from Waikiki Beach. It's also a short walk to the zoo.,None
Aston Waikiki Beach Hotel,"2570 Kalakaua Ave, Honolulu, HI 96815, USA","Across from Waikiki Beach, this high-rise hotel is 3 minutes' walk from Honolulu Zoo.","This hotel is across from Waikiki Beach. It's a very large hotel. It's about a 3 minute walk from the Honolulu Zoo, too.",None
AYANA Resort and Spa Bali,unknown,"Upscale oceanfront choice with elegant rooms, suites and villas, plus 9 restaurants & 4 pools.","This upscale, oceanfront resort features elegant rooms, suites, and villas. There are 9 restaurants and 4 pools on the property.",feels_upscale | waterfront_lodging
AYANA Resort and Spa Bali,unknown,"Amenities include 9 restaurants, 4 bars and 3 cafes, plus 4 outdoor pools, beach access and tennis courts.",This resort has nine restaurants including four bars and three cafes. They also have four separate outdoor pools along with beach access and tennis courts.,has_onsite_cafe | has_restaurant | has_bar_onsite | has_tennis_court | has_swimming_pool_outdoor
AYANA Resort and Spa Bali,unknown,"Elegant rooms, suites and villas come with carved wooden partitions and offer free Wi-Fi, flat-screen TVs, minibars and balconies, plus tea and coffeemaking facilities, and garden or ocean views. ","They Ayana Resort and Spa Bali offers elegant rooms, suites and villas which include carved wood partitions and garden or ocean views.  Free Wi-Fi is offered and there are flat-screen TVs.  Other amenities include minibars and balconies, plus tea and coffeemaking.  ",has_mini_bar_in_room | feels_elegant | has_coffee_in_rooms | is_room_type | has_wi_fi_free | has_balcony_in_rooms | is_hotel_type
B Ocean Resort Fort Lauderdale,"1140 Seabreeze Boulevard, Fort Lauderdale, FL 33316, USA","Airy lodging featuring a private beach & 2 pools, plus dining, a beach bar & free Wi-Fi","This airy lodging includes free Wi-Fi. There are 2 pools, dining, a private beach and a beach bar.",has_wi_fi_free | is_airy | has_minifridge_in_rooms | has_safe_in_room | feels_nautical
B Ocean Resort Fort Lauderdale,"1140 Seabreeze Boulevard, Fort Lauderdale, FL 33316, USA","Spanning 4 buildings on highway A1A, this modern beachfront resort is 3.7 miles from Downtown Fort Lauderdale and 7 miles from Fort Lauderdale-Hollywood International Airport. Airy, nautical-inspired rooms provide free WiFi, flat-screen TVs, minifridges and safes.","This hotel is a modern beachfront resort less than 4 miles from Downtown Fr. Lauderdale, and 7 miles from FLL airport. The rooms are spacious, with nautical decor. Wifi, flat-screen TVs, minifridges and safes are provided free of charge.  ",None
B Ocean Resort Fort Lauderdale,"1140 Seabreeze Boulevard, Fort Lauderdale, FL 33316, USA","Airy, nautical-inspired rooms provide free WiFi, flat-screen TVs, minifridges and safes. ","This hotel features airy, nautical inspired rooms.  All rooms offer free WiFi, flat-screen TVs, minifridges and safes.",has_wi_fi_free | is_airy | has_minifridge_in_rooms | has_safe_in_room | feels_nautical
B&B Hôtel Lyon Centre Gambetta,unknown,Straightforward budget lodging with unassuming rooms featuring complimentary Wi-Fi.,Average room with free wifi.  ,has_wi_fi_free | feels_casual | is_straightforward
B&B Hôtel Lyon Centre Gambetta,unknown,"The cozy rooms are simply decorated, featuring flat-screen TVs, free Wi-Fi, desks and en suite bathrooms. Some rooms have bunk beds","Each room features simple decor with a flat-screen TV, bathroom, desks and WiFi for your computing needs and some rooms even feature bunk beds.",None
B&B Hôtel Lyon Centre Gambetta,unknown,Straightforward budget lodging with unassuming rooms featuring complimentary Wi-Fi.,Affordable rooms with free Wi-Fi.,has_wi_fi_free | feels_casual | is_straightforward
Baccarat Hotel & Residences New York,"28 West 53rd Street, New York, NY 10019, USA","Offering a sophisticated mix of modern and traditional styles, the polished rooms come with free high-speed Internet, flat-screens, wireless sound systems and minibars.","The Baccarat Hotel provides a mix of both modern and traditional style rooms. Each one comes with flat screen televisions, wireless sound systems, minibars and free high speed internet access.",None
Baccarat Hotel & Residences New York,"28 West 53rd Street, New York, NY 10019, USA","Offering a sophisticated mix of modern and traditional styles, the polished rooms come with free high-speed Internet, flat-screens, wireless sound systems and minibars","The mix of modern and traditional style rooms are sophisticated and polished. They come with free high speed internet, flat screen TV's and wireless sound systems. Every room also has a minibar.",None
Baccarat Hotel & Residences New York,"28 West 53rd Street, New York, NY 10019, USA"," Offering a sophisticated mix of modern and traditional styles, the polished rooms come with free high-speed Internet, flat-screens, wireless sound systems and minibars.","It's a really sophisticated place, both modern and traditional. The polished rooms include internet, flat screens, wireless speakers, and minibars. ",None
Bally's Atlantic City,"1900 Boardwalk, Atlantic City, NJ 08401, USA"," Casino hotel with pool, spa & shows This high-rise casino hotel faces the beach and is a 4-minute stroll to The Pier Shops at Caesars and 8 minutes to The Walk shopping.","This high-rise beachside casino hotel features a pool, spa and various Shows. It is located only 4 minutes walking distance from the Pier Shops at Caesars and 8 minutes to 'the Walk' shopping.",has_casino
Bally's Atlantic City,"1900 Boardwalk, Atlantic City, NJ 08401, USA","Restaurants offer Italian and American-style dishes, and there's an oyster bar, a deli diner and a noodle counter, plus 3 bars.","It has Italian and American restaurants. There's an oyster bar, deli, and noodle counter as well. You'll also find 3 bars.",has_restaurant | has_bar_onsite
Bally's Atlantic City,"1900 Boardwalk, Atlantic City, NJ 08401, USA"," Beachside hotel with 2 casinos & nightly entertainment, plus a pool & spa with 7 hot tubs. ",This hotel is right on the beach. It has two casinos. There is entertainment every night. There is a spa and pool and 7 hot tubs. ,has_spa | has_casino | has_hot_tub
Baltimore Marriott Waterfront,"700 Aliceanna St, Baltimore, MD 21202, USA","A 7-minute walk from the National Aquarium, this upscale hotel is also a 1.6-mile drive from the Walters Art Museum.","With just a 1.6 mile drive from the Walters Art Museum, this upscale hotel is only a 7 minute walk to the National Aquarium as well.",feels_upscale
Baltimore Marriott Waterfront,"700 Aliceanna St, Baltimore, MD 21202, USA"," Perks include an American restaurant using locally sourced ingredients, plus an indoor pool, a sauna and a 24/7 fitness center","The Baltimore Marriott Waterfront hotel has many perks to be enjoyed. This high-end hotel features an American restaurant that uses only locally sourced ingredients. Other amenities include an indoor pool, sauna and a state-of-the-art fitness center open 24/7.",has_swimming_pool_indoor | has_restaurant | has_sauna | has_fitness_center
Baltimore Marriott Waterfront,"700 Aliceanna St, Baltimore, MD 21202, USA","Flat-screen TVs with premium cable channels, desks and coffeemakers are offered in all of the contemporary rooms.","This hotel offers premium cable on modern TVs, along with desks and coffeemakers. The rooms are contemporary and clean as well. ",feels_contemporary | feels_upscale | has_coffee_in_rooms | has_desk_in_rooms | feels_modern | swanky_lodging
Bangkok City Hotel,unknown,"Laid-back hotel with contemporary rooms, a restaurant & an indoor pool, as well as free breakfast","This hotel has contemporary rooms, a restaurant, a pool, and even free breakfast.",feels_casual | feels_relaxing | has_free_breakfast
Bangkok City Hotel,unknown," Freebies include parking and a continental breakfast buffet, which is served in the restaurant. ",The hotel also provides free parking as well as a scrumptious continental breakfast at its restaurant.,has_breakfast_buffet | has_restaurant
Bangkok City Hotel,unknown,"Laid-back hotel with contemporary rooms, a restaurant & an indoor pool, as well as free breakfast.","Laid-back hotel with contemporary rooms. Amenities include a restaurant, an indoor pool and a free breakfast. ",feels_casual | feels_relaxing | has_free_breakfast
Banyan Tree Mayakoba,unknown,Premium hotel with a golf course & a spa This luxury beachfront hotel featuring Asian and Mayan-inspired decor is 12 km from the Riviera Art Gallery. ,This luxury beachfront hotel features a golf course and spa. The hotel has Asian and Mayan inspired decor throughout and is only 12 km from the Riviera Art Gallery.,feels_upscale | swanky_lodging | waterfront_lodging
Banyan Tree Mayakoba,unknown,"Sleek villas come with free Wi-Fi, flat-screens and iPod docks, plus private plunge pools and terrace/garden areas (some have spa treatment beds).","The Banyan Tree Mayakoba's sleek villas are modern and high tech, offering free Wi-Fi, flat screens, and iPod docks. For those who want to get a little more in touch with nature, the villas also offer private plunge pools and terrace or garden areas, some of which have spa treatment beds to help guests relax.",has_wi_fi_free | is_streamlined | has_specialty_electronics_in_rooms
Banyan Tree Mayakoba,unknown,"There's a breakfast buffet (fee), and other eating options ranging from an elegant Thai restaurant with a waterside terrace to dining on boats. ",The Banyan Tree has a breakfast buffet for a fee.  There are quite a few other eating out options that include a Thai restaurant.  There's even a waterside terrace and even dining on boats.  ,feels_elegant | has_breakfast_buffet | has_terrace | waterfront_lodging | has_terrace_in_rooms | has_restaurant
Barceló Solymar Arenas Blancas,unknown,"Informal sprawling retreat offering 3 outdoor pools & 3 pool bars, as well as 5 restaurants & a spa.",This hotel is informal and sprawling.  It features 3 outdoor pools with 3 pool bars.  It also has 5 restaurants and a spa.  ,feels_casual
Barceló Solymar Arenas Blancas,unknown,"Suites and bungalows add separate living areas, and room service is available.",Upgrade to a suite or bungalow and enjoy separate living areas as well as on-demand room service. ,is_room_type | has_room_service
Barceló Solymar Arenas Blancas,unknown," Informal sprawling retreat offering 3 outdoor pools & 3 pool bars, as well as 5 restaurants & a spa.",Low key resort with all amenities,feels_casual
Beaches Turks & Caicos Resort Villages & Spa,unknown,"All-inclusive lodging with a water park On a white sand beach along the Atlantic coast, this sprawling, all-inclusive resort is 2.7 km from Graceway Sports Complex and 4 km from Grace Bay Beach.",This is big all-inclusive Atlantic coast resort. It's on a white sand beach and has a water park. Other attractions nearby include Graceway Sports Complex and Grace Bay Beach. ,is_hotel_type | all_inclusive
Beaches Turks & Caicos Resort Villages & Spa,unknown,"All-inclusive lodging with a water park On a white sand beach along the Atlantic coast, this sprawling, all-inclusive resort is 2.7 km from Graceway Sports Complex and 4 km from Grace Bay Beach",This is an all-inclusive lodging with a water park on a white sand beach along the Atlantic coast.,is_hotel_type | all_inclusive
Beaches Turks & Caicos Resort Villages & Spa,unknown,"All-inclusive lodging with a water park On a white sand beach along the Atlantic coast, this sprawling, all-inclusive resort is 2.7 km from Graceway Sports Complex and 4 km from Grace Bay Beach.",This all-inclusive resort is on a white sand beach on the Atlantic coast. The resort has its own water park and is 2.7 kilometers from Graceway Sports Complex and 4 kilometers from Grace Bay Beach. ,is_hotel_type | all_inclusive
Beau Rivage Resort & Casino,"875 Beach Boulevard, Biloxi, MS 39530, USA","10 on-site dining options and 3 bars and lounges, as well as an arcade and event facilities",The resort has 10 places to eat and 3 bars.  It also has an arcade and meeting rooms. ,None
Beau Rivage Resort & Casino,"875 Beach Boulevard, Biloxi, MS 39530, USA","In addition to the 24-hour casino, amenities consist of a full service spa, an outdoor pool overlooking the Gulf, live entertainment, 10 on-site dining options and 3 bars and lounges, as well as an arcade and event facilities. ",The resort features a 24-casino. There is a full service spa and an outdoor pool which overlooks the gulf. Amenities also feature live entertainment including 10 on-site options for dining. There are also 3 bars/lounges and an arcade. There is also event facilities available. ,None
