Input.hotel_name,Input.hotel_address,Input.p-slot0,Input.p-slot1,Input.p-slot2,Input.p-slot3,Input.p-slot4,Input.p-slot5,Answer.response
Argonaut Hotel,"495 Jefferson St, San Francisco, CA 94109, USA",feels_casual,feels_elegant,feels_relaxing,feels_nautical,has_spa,has_restaurant,"A great choice would be the Argonaut Hotel. It has a casual nautical feel to it that can be enjoyed from the restaurant. Overall it feels very relaxing, and the elegant spa is something to not be missed."
Argonaut Hotel,"495 Jefferson St, San Francisco, CA 94109, USA",feels_casual,feels_elegant,feels_relaxing,feels_nautical,has_spa,has_restaurant,"Argonaut Hotel is a spectacular historic hotel located just a stones throw from the coast. It has a casual and relaxing yet elegant feel with a touch of  an nautical atmosphere. You can take a stroll along the boardwalk to access Pier 39, or check out Fishermans's Wharf and see all that is surrounding this historic area."
Argonaut Hotel,"495 Jefferson St, San Francisco, CA 94109, USA",feels_casual,feels_elegant,feels_relaxing,feels_nautical,has_spa,has_restaurant,A good choice is the Argonaut Hotel in San Francisco. It's casual and relaxing with an elegant restaurant and a nutical spa.
Aston Waikiki Beach Hotel,"2570 Kalakaua Ave, Honolulu, HI 96815, USA",feels_casual,feels_relaxing,has_resort_fees,has_restaurant,has_swimming_pool_outdoor,is_colorful,The Aston Waikiki Beach Hotel is more casual. A lot of people say they feel really relaxed here. There's an out door swimming pool and a really colorful vibe to the place. You will have some resort fees.
Aston Waikiki Beach Hotel,"2570 Kalakaua Ave, Honolulu, HI 96815, USA",feels_casual,feels_relaxing,has_resort_fees,has_restaurant,has_swimming_pool_outdoor,is_colorful,"The Aston Waikiki Beach Hotel would be the perfect choice. This casual and relaxing hotel offers a host of amenities. It features an onsite, highly-rated restaurant, an outdoor swimming pool, and colorful and fully-outfitted suites."
Aston Waikiki Beach Hotel,"2570 Kalakaua Ave, Honolulu, HI 96815, USA",feels_casual,feels_relaxing,has_resort_fees,has_restaurant,has_swimming_pool_outdoor,is_colorful,"Aston Waikiki Beach Hotel is a relaxing and casual hotel located right on the beach but does have resort fees. If the beach isn't your thing, you can swim in the outdoor pool or dine in the onsite restaurant. The Aquarium, Zoo and Diamond Head are just a few of the great attractions you can easily access from this hotel."
B Ocean Resort Fort Lauderdale,"1140 Seabreeze Boulevard, Fort Lauderdale, FL 33316, USA",feels_modern,feels_nautical,has_bar_onsite,has_restaurant,has_resort_fees,has_wi_fi_free,"B Ocean Resort Fort Lauderdale is a really nice option. It's decorated in a really cute nautical theme, yet still feels modern. I really love their onsite bar and their seafood restaurant is to die for!"
B Ocean Resort Fort Lauderdale,"1140 Seabreeze Boulevard, Fort Lauderdale, FL 33316, USA",feels_modern,feels_nautical,has_bar_onsite,has_restaurant,has_resort_fees,has_wi_fi_free,A good choice is B Ocean Resort Fort Lauderdale. This resort has a modern nautical feeling to it. There is an onsite bar and restaurant. Free wi-fi is offered to all guests as well. Resort fees do apply and can be discussed with hotel staff.
B Ocean Resort Fort Lauderdale,"1140 Seabreeze Boulevard, Fort Lauderdale, FL 33316, USA",feels_modern,feels_nautical,has_bar_onsite,has_restaurant,has_resort_fees,has_wi_fi_free,"You might want to look at Ocean Resort Fort Lauderdale. It's nautical in theme, but feels modern.  It has an onsite bar, a restaurant, and free wifi."
Baccarat Hotel & Residences New York,"28 West 53rd Street, New York, NY 10019, USA",has_business_center,feels_luxury,feels_modern,feels_traditional,has_swimming_pool_indoor,swanky_lodging,"Baccarat Hotel & Residences New York is a modern luxury hotel with a traditional feel. The lodging is swanky, and the hotel also features a business center and an indoor swimming pool."
Baccarat Hotel & Residences New York,"28 West 53rd Street, New York, NY 10019, USA",has_business_center,feels_luxury,feels_modern,feels_traditional,has_swimming_pool_indoor,swanky_lodging,A good choice would be Baccarat Hotel & Residences in New York. It has a traditional and modern business center as well as a luxury indoor swimming pool and swanky lodging.
Baccarat Hotel & Residences New York,"28 West 53rd Street, New York, NY 10019, USA",has_business_center,feels_luxury,feels_modern,feels_traditional,has_swimming_pool_indoor,swanky_lodging,A good choice is the Baccarat Hotel & Residences New York. This is swanky lodging meets traditional feeling amenities and spaces. Enjoy the indoor swimming pool and the business center which are both available to guests.
Bally's Atlantic City,"1900 Boardwalk, Atlantic City, NJ 08401, USA",has_casino,has_bar_onsite,has_restaurant,has_meeting_rooms,has_spa,has_hot_tub,"Bally's Atlantic City would be an excellent option. It has a huge casino onsite, plus a restaurant, bar and meeting rooms if you're actually trying to get things done. And they even offer a luxury spa and hot tub for guests!"
Bally's Atlantic City,"1900 Boardwalk, Atlantic City, NJ 08401, USA",has_casino,has_bar_onsite,has_restaurant,has_meeting_rooms,has_spa,has_hot_tub,"Bally's Atlantic City is a casino hotel with an onsite bar and a resturant.  It has meeting rooms, a spa, and the rooms are equipped with hot tubs."
Bally's Atlantic City,"1900 Boardwalk, Atlantic City, NJ 08401, USA",has_casino,has_bar_onsite,has_restaurant,has_meeting_rooms,has_spa,has_hot_tub,A great choice is the Bally's resort and casino in Atlantic city. It has some great entertainment choices including bars and restaurants. They also have a spa available so you can relax after hitting the casino floor during your stay. Meeting rooms are also available for events at this hotel.
Baltimore Marriott Waterfront,"700 Aliceanna St, Baltimore, MD 21202, USA",has_business_center,has_breakfast_continental,feels_modern,feels_contemporary,feels_upscale,has_onsite_laundry,"Upscale and contemporary, Baltimore Marriott Waterfront has a very modern environment. Some of the amenities offered include a business center, onsite laundry and continental breakfast."
Baltimore Marriott Waterfront,"700 Aliceanna St, Baltimore, MD 21202, USA",has_business_center,has_breakfast_continental,feels_modern,feels_contemporary,feels_upscale,has_onsite_laundry,"A good option would be the Baltimore Marriott Waterfront. The contemporary atmosphere boasts a continental breakfast, business center, and laundry facilities."
Baltimore Marriott Waterfront,"700 Aliceanna St, Baltimore, MD 21202, USA",has_business_center,has_breakfast_continental,feels_modern,feels_contemporary,feels_upscale,has_onsite_laundry,The Baltimore Marriott is a contemporary and upscale haven with a waterfront setting. visitors will find this refreshingly modern property wastes no time in providing guests with exactly what they need. The hotel features an onsite business center and laundry and offers a free continental breakfast each morning.
Beau Rivage Resort & Casino,"875 Beach Boulevard, Biloxi, MS 39530, USA",has_casino,has_bar_onsite,has_spa,has_resort_fees,has_restaurant,has_swimming_pool_outdoor,Beau Rivage Resort and Casino is an excellent choice due to all the amenities it has to offer. There is a casino and bar onsite. Also included is a restaurant and an outdoor swimming pool with a spa.
Beau Rivage Resort & Casino,"875 Beach Boulevard, Biloxi, MS 39530, USA",has_casino,has_bar_onsite,has_spa,has_resort_fees,has_restaurant,has_swimming_pool_outdoor,A very nice choice is the Beau Rivage Resort & Casino. There are many amenities offered to guests. A restaurant and onsite bar are available for convenience. Enjoy the views from the outdoor swimming pool or inside at the casino. Unwind with a trip to the spa! There are resort fees that can be discussed with hotel staff.
Beau Rivage Resort & Casino,"875 Beach Boulevard, Biloxi, MS 39530, USA",has_casino,has_bar_onsite,has_spa,has_resort_fees,has_restaurant,has_swimming_pool_outdoor,"I'd recommend the Beau Rivage Resort and Casino in Biloxi. It has an outdoor swimming pool, a spa, a bar, and a restaurant all onsite."
Belvedere Hotel,"319 West 48th Street, New York, NY 10036, USA",feels_modern,feels_contemporary,feels_elegant,has_business_center,has_concierge,has_fitness_center,"A really nice choice would be Belvedere Hotel.  This hotel has a modern feel with a contemporary look.  The place looks elegant and inviting.  This hotel provides a business center, concierge, and fitness center for the guests."
Belvedere Hotel,"319 West 48th Street, New York, NY 10036, USA",feels_modern,feels_contemporary,feels_elegant,has_business_center,has_concierge,has_fitness_center,"Here's something I think you'll like, the Belvedere Hotel located at 319 West 48th Street in New York City. You'll have access to a business center, concierge and fitness center. It's elegant, but contemporary and modern as well."
Belvedere Hotel,"319 West 48th Street, New York, NY 10036, USA",feels_modern,feels_contemporary,feels_elegant,has_business_center,has_concierge,has_fitness_center,A good choice is the Belvedere Hotel in New York. It's modern and elegant with a concierge provided. There's also a business center and a fitness center available to every guest.
Best Western Grant Park Hotel,"1100 S Michigan Ave, Chicago, IL 60605, USA",feels_relaxing,feels_casual,has_bar_onsite,has_lake,has_restaurant,is_straightforward,Best Western Grant Park Hotel is pretty basic and straightforward but is near the lake which gives it a relaxed and casual feel. The bar and restaurant on site are also really nice.
Best Western Grant Park Hotel,"1100 S Michigan Ave, Chicago, IL 60605, USA",feels_relaxing,feels_casual,has_bar_onsite,has_lake,has_restaurant,is_straightforward,"You might want to take a look at the Best Western Grant Park Hotel. It's a relaxing, casual, lakeside hotel with a bar and a restaurant."
Best Western Grant Park Hotel,"1100 S Michigan Ave, Chicago, IL 60605, USA",feels_relaxing,feels_casual,has_bar_onsite,has_lake,has_restaurant,is_straightforward,"A nice choice would be Best Western Grant Park Hotel in Chicago. It sits on a beautiful lake with a restaurant overlooking it, a bar onsite, and a relaxing and casual atmosphere."
Best Western Key Ambassador Resort Inn,"3755 S Roosevelt Blvd, Key West, FL 33040, USA",has_airport_shuttle,has_bar_onsite,has_restaurant,has_wi_fi_free,has_swimming_pool_outdoor,is_colorful,"A very nice choice would be the Best Western Key Ambassador Resort Inn. It has an airport shuttle to make things a little easier for you! Other amenities include free wi-fi, an outdoor swimming pool, bar and restaurant."
Best Western Key Ambassador Resort Inn,"3755 S Roosevelt Blvd, Key West, FL 33040, USA",has_airport_shuttle,has_bar_onsite,has_restaurant,has_wi_fi_free,has_swimming_pool_outdoor,is_colorful,The Best Western Key Ambassador Resort Inn is a popular destination for travelers because it's nice but basic. They have a swimming pool that's especially good if you're bringing kids and there's an airport shuttle too that goes between the hotel and the airport. There's a restaurant and bar on site which can be rather convenient and free wifi which I personally can't live without.
Best Western Key Ambassador Resort Inn,"3755 S Roosevelt Blvd, Key West, FL 33040, USA",has_airport_shuttle,has_bar_onsite,has_restaurant,has_wi_fi_free,has_swimming_pool_outdoor,is_colorful,"One option I see is Best Western Key Ambassador Resort Inn. They have an airport shuttle. They also have an onsite bar, restaurant, free wi-fi and an outdoor swimming pool."
Best Western Orlando Gateway Hotel,"7299 Universal Blvd, Orlando, FL 32819, USA",feels_casual,has_bar_poolside,has_bar_onsite,has_fitness_center,has_hot_tub,has_swimming_pool_outdoor,"I have the perfect hotel for your vacation in Orlando Florida. It's the Best Western Orlando Gateway Hotel. You can workout in the fitness center then lounge by the swimming pool outdoors. There's also a hot tub, a bar by the pool and even another bar onsite.  It's casual and perfect for just hanging out."
Best Western Orlando Gateway Hotel,"7299 Universal Blvd, Orlando, FL 32819, USA",feels_casual,has_bar_poolside,has_bar_onsite,has_fitness_center,has_hot_tub,has_swimming_pool_outdoor,"I highly recommend the Best Western Orlando Gateway Hotel. This casual, yet modern hotel offers a ton of amenities, including an onsite pool with a bar and hot tub as well as a large fitness center."
Best Western Orlando Gateway Hotel,"7299 Universal Blvd, Orlando, FL 32819, USA",feels_casual,has_bar_poolside,has_bar_onsite,has_fitness_center,has_hot_tub,has_swimming_pool_outdoor,The Best Western Orlando Gateway Hotel is a familiar name in a special venue. The casual and relaxed atmosphere will hypnotize you into reclining at the bar onsite or poolside or hitting the hot tub or fitness center.  Whatever you choose to do there's always something for those die hard adventurers.
Best Western Plus Anaheim Inn,"1630 S Harbor Blvd, Anaheim, CA 92802, USA",feels_casual,feels_relaxing,feels_upscale,has_onsite_laundry,has_fitness_center,has_free_parking,"I feel that you'd enjoy the Best Western Plus Anaheim Inn. It's a relaxing place and very upscale. There's a laundry for your clothes, a fitness center, and free parking."
Best Western Plus Anaheim Inn,"1630 S Harbor Blvd, Anaheim, CA 92802, USA",feels_casual,feels_relaxing,feels_upscale,has_onsite_laundry,has_fitness_center,has_free_parking,"The casual and relaxing feel of Best Western Plus Anaheim Inn will put you at ease. It still maintains an upscale feel to it and provides many amenities including, a fitness center, onsite laundry, and free parking."
Best Western Plus Anaheim Inn,"1630 S Harbor Blvd, Anaheim, CA 92802, USA",feels_casual,feels_relaxing,feels_upscale,has_onsite_laundry,has_fitness_center,has_free_parking,A good choice is the Best Western Anaheim Inn. The hotel is relaxing and casual. There is free parking and onsite laundry for your convenience. Be sure to check out the fitness center that is available to guests!
Best Western Plus Arena Hotel,"1324 Atlantic Ave, Brooklyn, NY 11216, United States",feels_casual,has_airport_shuttle,feels_relaxing,has_business_center,has_fitness_center,has_wi_fi_free,"The Best Western Plus Arena hotel has nice features. It's casual and relaxing, so you can unwind at the end of your day. They also have free wi-fi and a shuttle to and from the airport, not to mention a fitness and business center."
Best Western Plus Arena Hotel,"1324 Atlantic Ave, Brooklyn, NY 11216, United States",feels_casual,has_airport_shuttle,feels_relaxing,has_business_center,has_fitness_center,has_wi_fi_free,"A good choice would be the Best Western Plus Arena Hotel in Brooklyn. It's casual and relaxing with a business center, fitness center, free wifi, and an airport shuttle when you're ready to leave."
Best Western Plus Arena Hotel,"1324 Atlantic Ave, Brooklyn, NY 11216, United States",feels_casual,has_airport_shuttle,feels_relaxing,has_business_center,has_fitness_center,has_wi_fi_free,"I'd definitely recommend the Best Western Plus Arena Hotel. It has a free airport shuttle so it's easy to get there. It offers a lot of amenities like a business center, a fitness center, free wi-fi, and a relaxing pool area."
Best Western Premier Grand Canyon Squire Inn,"74 Arizona 64, Grand Canyon Village, AZ 86023, USA",feels_contemporary,has_business_center,feels_modern,has_bar_onsite,feels_upscale,has_bowling,"A great option is Best Western Premier Grnad Canyon Squire Inn. It is modern and up scale. It has a business center, onsite bar and a bowling alley."
Best Western Premier Grand Canyon Squire Inn,"74 Arizona 64, Grand Canyon Village, AZ 86023, USA",feels_contemporary,has_business_center,feels_modern,has_bar_onsite,feels_upscale,has_bowling,A good choice would be the Best Western Premier Grand Canyon Squire Inn. It is perfect for vacation or business travel with its modern facilities such as the business center and bowling alley! There is also a bar on site for after hours fun.
Best Western Premier Grand Canyon Squire Inn,"74 Arizona 64, Grand Canyon Village, AZ 86023, USA",feels_contemporary,has_business_center,feels_modern,has_bar_onsite,feels_upscale,has_bowling,You might want to try the Best Western Premier Grand Canyon Squire Inn.  It has a business center and a bowling alley. It's very upscale.
Best Western Premier Miami International Airport Hotel & Suites,"4100 West Flagler Street, Miami, FL 33134, USA",feels_contemporary,feels_chic,feels_modern,has_restaurant,has_wi_fi_free,has_swimming_pool_outdoor,A good option is the Best Western Premier Miami International Airport Hotel & Suites. This contemporary location has a restaurant available and an outdoor swimming pool. Modern amenities include free wi-fi.
Best Western Premier Miami International Airport Hotel & Suites,"4100 West Flagler Street, Miami, FL 33134, USA",feels_contemporary,feels_chic,feels_modern,has_restaurant,has_wi_fi_free,has_swimming_pool_outdoor,"A perfect choice would be the chic and modern Best Western Premier Miami International Airport Hotel & Suites. It offers guests contemporary and luxurious rooms, free wi-fi and an impressive outdoor swimming pool and bar area."
Best Western Premier Miami International Airport Hotel & Suites,"4100 West Flagler Street, Miami, FL 33134, USA",feels_contemporary,feels_chic,feels_modern,has_restaurant,has_wi_fi_free,has_swimming_pool_outdoor,"There is a hotel called Best Western Premier Miami International Airport Hotel & Suites on West Flagler Street. It's modern, and chic, and has free wifi. It even has an outdoor swimming pool."
Best Western River North Hotel,"125 W Ohio St, Chicago, IL 60654, USA",feels_contemporary,feels_modern,has_fitness_center,has_rooftop_deck,has_wi_fi_free,is_straightforward,"Best Western River North Hotel is a really nice, modern place with free wifi and a fitness center. It's really straightforward, and even has a deck on the roof."
Best Western River North Hotel,"125 W Ohio St, Chicago, IL 60654, USA",feels_contemporary,feels_modern,has_fitness_center,has_rooftop_deck,has_wi_fi_free,is_straightforward,"A nice choice is Best Western River North Hotel in Chicago. It fees contemporary, straightforward, and modern with a fitness center, rooftop deck, and free wifi."
Best Western River North Hotel,"125 W Ohio St, Chicago, IL 60654, USA",feels_contemporary,feels_modern,has_fitness_center,has_rooftop_deck,has_wi_fi_free,is_straightforward,"Best Western River North Hotel is an excellent choice. This contemporary and model hotel features a ton of amenities, including an onsite fitness center and rooftop deck. Check-in is simple and straight forward and all guests will be provided free wi-fi and breakfast daily."
"Beverly Wilshire, Beverly Hills (A Four Seasons Hotel)","9500 Wilshire Boulevard, Beverly Hills, CA 90212, United States",feels_modern,feels_upscale,has_bar_poolside,feels_chic,feels_elegant,feels_contemporary,I think you might like the Beverly Wilshire in Beverly Hills (A Four Seasons Hotel). Its very modern and upscale and has a poolside bar.
"Beverly Wilshire, Beverly Hills (A Four Seasons Hotel)","9500 Wilshire Boulevard, Beverly Hills, CA 90212, United States",feels_modern,feels_upscale,has_bar_poolside,feels_chic,feels_elegant,feels_contemporary,"I'd definitely recommend the Beverly Wilshire. This modern and upscale hotel offers a ton of great amenities! It has great contemporary furnishings and decor, an awesome pool, and a cool poolside bar."
"Beverly Wilshire, Beverly Hills (A Four Seasons Hotel)","9500 Wilshire Boulevard, Beverly Hills, CA 90212, United States",feels_modern,feels_upscale,has_bar_poolside,feels_chic,feels_elegant,feels_contemporary,"How about the Beverly Wilshire in Beverly Hills (A Four Season Hotel)? It has a chic, modern, upscale feel. From the contemporary rooms and elegant lobby, to the poolside bar, it should meet your needs."
Biltmore Hotel Miami Coral Gables,"1200 Anastasia Avenue, Coral Gables, FL 33134, USA",feels_palatial,feels_casual,has_spa,has_fitness_center,has_golf_course,is_high_tech,"A different option is the Biltmore Hotel Miami Coral Gables. Enjoy the spa, fitness center, and golf course that are all available to guests of this casual hotel."
Biltmore Hotel Miami Coral Gables,"1200 Anastasia Avenue, Coral Gables, FL 33134, USA",feels_palatial,feels_casual,has_spa,has_fitness_center,has_golf_course,is_high_tech,"The Biltmore Hotel Miami Coral Gables is a high-tech. Featuring palatial grounds, it still maintains a casual feeling. You can relax at the spa or tee off on the hotel's golf course. If you like exercising, there is a fitness center onsite."
Biltmore Hotel Miami Coral Gables,"1200 Anastasia Avenue, Coral Gables, FL 33134, USA",feels_palatial,feels_casual,has_spa,has_fitness_center,has_golf_course,is_high_tech,"The Biltmore Hotel Miami has a palatial feel to it that only history can bestow The casual, old world elegance of the hotel is reflected in the amenities offered. Guests can make use of a spa, fitness center and golf course, all accommodated with the most modern technology available."
Boreal Mountain Resort,"19749 Boreal Ridge Road, Soda Springs, CA 95728, USA",has_breakfast_continental,feels_no_frills,feels_upscale,feels_relaxing,feels_casual,has_free_breakfast,"I think you might enjoy staying at the Boreal Mountain Resort. It's a casual and relaxing place, but upscale.  The continental breakfast is free."
Boreal Mountain Resort,"19749 Boreal Ridge Road, Soda Springs, CA 95728, USA",has_breakfast_continental,feels_no_frills,feels_upscale,feels_relaxing,feels_casual,has_free_breakfast,"The Boreal Mountain Resort is a great option for the area. It is upscale yet feels no frills,  relaxing and casual and it offers a free breakfast."
Boreal Mountain Resort,"19749 Boreal Ridge Road, Soda Springs, CA 95728, USA",has_breakfast_continental,feels_no_frills,feels_upscale,feels_relaxing,feels_casual,has_free_breakfast,A great choice is the Boreal Mountain Resort. This no frills resort is very casual and relaxing. Be sure to take advantage of the free continental breakfast available to guests.
Bright Angel Lodge,"9 Village Loop Dr, Grand Canyon Village, AZ 86023, USA",feels_rustic,feels_traditional,has_bar_onsite,has_restaurant,is_colorful,is_historic,The Caron Du Beaumarchais is a rustic and warmly traditional property that will charm you with its colorful and historic feel. You will find such friendly amenities as an on site bar and restaurant to while away the time whether with friends or lovers.
Bright Angel Lodge,"9 Village Loop Dr, Grand Canyon Village, AZ 86023, USA",feels_rustic,feels_traditional,has_bar_onsite,has_restaurant,is_colorful,is_historic,"The Bright Angel Lodge could work well for you. The aesthetic is rustic and traditional, with a colorful and historic vibe. For food options, there's a restaurant onsite, as well as a bar for drinks."
Bright Angel Lodge,"9 Village Loop Dr, Grand Canyon Village, AZ 86023, USA",feels_rustic,feels_traditional,has_bar_onsite,has_restaurant,is_colorful,is_historic,"The traditional and historic Bright Angel Lodge located at 9 Village Loop Drive maybe a good choice for you. It's a colorful, rustic atmosphere with an onsite bar and restaurant."
Bryant Park Hotel,"40 W 40th St, New York, NY 10018, United States",feels_hip,feels_contemporary,has_bar_onsite,feels_modern,has_onsite_movie_theater,has_fitness_center,"A lovely option is the Bryant Park Hotel. This contemporary facility has an a movie theater, fitness center, and onsite bar for your use and enjoyment."
Bryant Park Hotel,"40 W 40th St, New York, NY 10018, United States",feels_hip,feels_contemporary,has_bar_onsite,feels_modern,has_onsite_movie_theater,has_fitness_center,The Bryant Park Hotel is feels hip and modern. You can enjoy a drink at the onsite bar or a movie at the onsite movie theater. A fitness center is available for use.
Bryant Park Hotel,"40 W 40th St, New York, NY 10018, United States",feels_hip,feels_contemporary,has_bar_onsite,feels_modern,has_onsite_movie_theater,has_fitness_center,You might enjoy a stay at the Bryant Park Hotel. It's a hip and modern place with a fitness center and a movie theater. There's even a bar.
Caesars Atlantic City,"2100 Pacific Avenue, Atlantic City, NJ 08401, USA",feels_upscale,feels_modern,has_casino,has_bar_onsite,has_nightclub,has_swimming_pool_rooftop,Caesars Atlantic City is in a great location and has a real upscale feel. It's also pretty modern I would say rather than ornate. There's an onsite bar and oh yeah a nightclub! And the swimming pool is really cool with a roof top feature.
Caesars Atlantic City,"2100 Pacific Avenue, Atlantic City, NJ 08401, USA",feels_upscale,feels_modern,has_casino,has_bar_onsite,has_nightclub,has_swimming_pool_rooftop,"Caesars Atlantic City is an amazing casino hotel.  It's very modern, and very upscale.  There's an onsite nightclub, and a swimming pool on the roof."
Caesars Atlantic City,"2100 Pacific Avenue, Atlantic City, NJ 08401, USA",feels_upscale,feels_modern,has_casino,has_bar_onsite,has_nightclub,has_swimming_pool_rooftop,"A very good choice is Caesars Atlantic City. The upscale atmosphere includes a casino, nightclub, and onsite bar. Enjoy views of the city from the rooftop swimming pool!"
Caesars Palace,"3570 S Las Vegas Blvd, Las Vegas, NV 89109, USA",feels_traditional,feels_elegant,has_casino,has_bar_onsite,feels_upscale,has_spa,A perfect choice for you would be Caesars Palace! It has that traditional upscale Las Vegas feeling to it and has a great casino.  There is a bar and a spa in the hotel as well.
Caesars Palace,"3570 S Las Vegas Blvd, Las Vegas, NV 89109, USA",feels_traditional,feels_elegant,has_casino,has_bar_onsite,feels_upscale,has_spa,Caesars Palace is an excellent choice as it has a traditional and elegant feel to it. There is both a casino and bar at the location.
Caesars Palace,"3570 S Las Vegas Blvd, Las Vegas, NV 89109, USA",feels_traditional,feels_elegant,has_casino,has_bar_onsite,feels_upscale,has_spa,Caesar's Palace would be a good choice. It's an elegant hotel with a lot of history. It's got a casino with a bar and also has a spa.
Cambria hotel & suites Chicago Magnificent Mile,"166 E Superior St, Chicago, IL 60611, USA",feels_chic,has_bar_onsite,feels_upscale,feels_contemporary,feels_hip,feels_casual,"The contemporary Cambria Hotel & Suites Chicago Magnificent Mile might suit you well. It boasts a hip and chic, yet casual atmosphere and there you can find an onsite restaurant and bar for your convenience."
Cambria hotel & suites Chicago Magnificent Mile,"166 E Superior St, Chicago, IL 60611, USA",feels_chic,has_bar_onsite,feels_upscale,feels_contemporary,feels_hip,feels_casual,"You might should try Cambria hotel & suites Chicago Magnificent Mile.  It's chic, hit, and casual.It even has an onsite bar."
Cambria hotel & suites Chicago Magnificent Mile,"166 E Superior St, Chicago, IL 60611, USA",feels_chic,has_bar_onsite,feels_upscale,feels_contemporary,feels_hip,feels_casual,The Cambria hotel & suites in Chicago I think is really hip and upscale. It got a chic bar on the property. I think it would suit someone who likes contemporary things.
Camelot Inn & Suites in Anaheim,"1520 South Harbor Boulevard, Anaheim, CA 92802, USA",feels_traditional,has_onsite_laundry,has_hot_tub,welcomes_families,is_straightforward,suitable_for_families,Camelot Inn & Suites in Anaheim is one good option. It offers that traditional feel that's welcoming to families. It has onsite laundry and a hot tub too.
Camelot Inn & Suites in Anaheim,"1520 South Harbor Boulevard, Anaheim, CA 92802, USA",feels_traditional,has_onsite_laundry,has_hot_tub,welcomes_families,is_straightforward,suitable_for_families,"I absolutely love Camelot Inn & Suites in Anaheim. The building is rather traditional and straightforward from the outside, yet a little more modern and chic on the inside. Plus, it's suitable for females and it offers onsite laundry services!"
