Phrase,Intent
My Anniversary is coming up. Can you find me a restaurant has reservations available on the 10th of this month?,INFORM
"We would like to make reservations for two at 18:00, at the Pub Republic in Petaluma.",INFORM
"Yes, thank you, Can you give me the address to the restaurant? I was wondering what kind of prices do they have?",AFFIRM
"Yes, thank you, Can you give me the address to the restaurant? I was wondering what kind of prices do they have?",REQUEST
Thank you so very much.,THANK_YOU
No. Thank you very much.,THANK_YOU
No. Thank you very much.,NEGATE
I would like to make a restaurant reservation.,INFORM
I would like to search in Alameda. The restaurant's name is Angel Fish. Please reserve it for twelve pm.,INFORM
"Yes, perfect!",AFFIRM
May I know their address?,REQUEST
Does the restaurant play live music? And does it serve Burger types of food?,REQUEST
"Thank you, that it all.",THANK_YOU
"Thank you, that it all.",GOODBYE
"Yes, it's called Juerga.",INFORM
It's in San Jose. Make the reservation for 10:45 in the morning.,INFORM
"Actually, I want to go to Lotus Cuisine in San Rafael.",INFORM
"Actually, I want to go to Lotus Cuisine in San Rafael.",NEGATE
"Yes, that's it.",AFFIRM
"No, that's it.",THANK_YOU
"No, that's it.",NEGATE
"Hi, I'm interested in making a restaurant reservation.",INFORM
Please reserve it for 7 in the evening.,INFORM
"Yes, I'm interested in a restaurant called Maruya and this will be for three people.",INFORM
I'm looking in SFO in particular and I have open availability for the date.,INFORM
"No, that's not correct it's for four people.",INFORM
"No, that's not correct it's for four people.",NEGATE
"No, please reschedule for 2nd of March.",INFORM
"No, please reschedule for 2nd of March.",NEGATE
"Perfect, all set.",AFFIRM
"Yes, I want a reservation for twelve pm at a restaurant.",INFORM
"Correct, thanks.",AFFIRM
"Perfect, that's all for now.",THANK_YOU
"Perfect, that's all for now.",GOODBYE
"Listen up, my friend. My co-worker and I want to celebrate the end of this tough project. Please use your magic to help me make a reservation for two at a nice restaurant.",INFORM
"Let's go for Fairfield, please?",INFORM
Let's do Mcdonald's at six in the evening on any day coming up.,INFORM
"Yes, that's great to set up. But, tell me, is this going to be kind of over-priced? And, what is the phone number there?",AFFIRM
"Yes, that's great to set up. But, tell me, is this going to be kind of over-priced? And, what is the phone number there?",REQUEST
Nice. Your assistance is highly appreciated.,THANK_YOU
I think not. Thanks for your diligence.,THANK_YOU
I think not. Thanks for your diligence.,NEGATE
I like the restaurant Kampai Bar. I would like the reservation on the 13th of this month at 6:30 in the evening.,INFORM
San Jose is my preferred location.,INFORM
"That is correct. Can you give me the restaurant address? Also, do they have live music.",AFFIRM
"That is correct. Can you give me the restaurant address? Also, do they have live music.",REQUEST
Thanks for the assistance.,THANK_YOU
Thanks for the assistance.,GOODBYE
No thank you.,THANK_YOU
No thank you.,NEGATE
No thank you.,GOODBYE
I wish to make a reservation at a restaurant in Pleasant Hill.,INFORM
I want the restaurant to be Kobe for Saturday this week at afternoon 1:30.,INFORM
That is not correct. I want the reservation to be at Homestead in Oakland.,INFORM
That is not correct. I want the reservation to be at Homestead in Oakland.,NEGATE
That is correct. Can you tell me what the address is and if they serve Burger dishes?,AFFIRM
That is correct. Can you tell me what the address is and if they serve Burger dishes?,REQUEST
Thank you for providing me with that information. That's all the help I need.,THANK_YOU
Thank you for providing me with that information. That's all the help I need.,GOODBYE
Please make me a reservation at the Bear Republic restaurant,INFORM
In Rohnert Park for 19:00 hours,INFORM
Yes that's right,AFFIRM
"Hello, Good morning!!! I wish to go out for dinner today. Can you make a dinner reservation at a good restaurant?",INFORM
Probably by 6:30 pm.,INFORM
"Yup! I would prefer a Mexican restaurant, the Crab House.",INFORM
I would prefer SF.,INFORM
"Nope, sorry please can you make it on the 13th in Sunnyvale?",INFORM
"Nope, sorry please can you make it on the 13th in Sunnyvale?",NEGATE
Yup! sounds good.,AFFIRM
"Nope, thanks a lot.",THANK_YOU
"Nope, thanks a lot.",NEGATE
Make me a reservation at a restaurant please,INFORM
Yes I would like to be in Oakland at restaurant Sukho on the 8th at 17:00,INFORM
Yes perfect.Liquor they serve?,AFFIRM
Yes perfect.Liquor they serve?,REQUEST
Thank you for your help.,THANK_YOU
No.Thanks.,THANK_YOU
No.Thanks.,NEGATE
I would like to make a 4:45 pm restuarant reservation.,INFORM
"Yes, please look for the Burma Ruby restaurant in Palo Alto.",INFORM
That is correct. What is the restaurant's adddress and what is the price range?,AFFIRM
That is correct. What is the restaurant's adddress and what is the price range?,REQUEST
Not at this time.,THANK_YOU
Not at this time.,NEGATE
"I want to reserve a table at 7:45 in the evening, in a restaurant.",INFORM
I need a table for one at the El Rancho restaurant in Concord.,INFORM
"Yes, please. Can I have their contact number?",AFFIRM
"Yes, please. Can I have their contact number?",REQUEST
Do they have live music?,REQUEST
No. Thank you. That's all I need for now.,THANK_YOU
No. Thank you. That's all I need for now.,NEGATE
Make a reservation in Dynasty restaurant for two people.,INFORM
In San Jose on 12th of March at quarter past 7 in the evening.,INFORM
Yeah exactly.,AFFIRM
"No, that doesn't work for me",NEGATE
No. Thank you very much,THANK_YOU
No. Thank you very much,NEGATE
i want to booking a restaurant for 2 people,INFORM
i want san jose in village at 11:30 in the morning,INFORM
no. it is for three people,INFORM
no. it is for three people,NEGATE
"yes that works for me. how pricey are they, do they serve liquor",AFFIRM
"yes that works for me. how pricey are they, do they serve liquor",REQUEST
thanks you very much,THANK_YOU
no. thank you for your help,THANK_YOU
no. thank you for your help,NEGATE
Can I make a restaurant reservation? I want it on March 12th.,INFORM
"The restaurant is Tao San Jin. Please make it for 2 o""clock in the afternoon.",INFORM
I want it in Antioch.,INFORM
Yes that works for me. What is the address?,AFFIRM
Yes that works for me. What is the address?,REQUEST
I want to try again. The restaurant is Khana Peena.,INFORM
No. Can I change it to the 9th of March in Berkeley.,INFORM
No. Can I change it to the 9th of March in Berkeley.,NEGATE
No. Make it at 12 in the afternoon.,INFORM
No. Make it at 12 in the afternoon.,NEGATE
Yes that works for me.,AFFIRM
"No, that is all thank you.",THANK_YOU
"No, that is all thank you.",NEGATE
I'd like to make a restaurant reservation at quarter to 7 in the evening.,INFORM
I want to go to Sushi Omakase in Gilroy.,INFORM
Sounds right. What kind of food do they have there?,AFFIRM
Sounds right. What kind of food do they have there?,REQUEST
"No, not right now.",NEGATE
"No, not right now.",GOODBYE
I'd like to book a spot at a diner. I'd like to have it on the 8th of this month for 1 person.,INFORM
I'd like to have it in Milpitas at 1:30 in the afternoon.,INFORM
The diner is Darda.,INFORM
"Yeah, that's perfect for me. Do they offer alcohol and Spicy Indian food?",AFFIRM
"Yeah, that's perfect for me. Do they offer alcohol and Spicy Indian food?",REQUEST
Thank you for your assistance; that's all.,THANK_YOU
Thank you for your assistance; that's all.,GOODBYE
I won't have time to make dinner after my big meeting so I would like to make a dinner reservation.,INFORM
"Can you make the reservation for 1 at Katsu, located in Los Gatos, for six in the evening, on the 12th of this month?",INFORM
"Yes, that sound great. I can't wait.",AFFIRM
"Thanks, that's one less thing I have to do.",THANK_YOU
"No, that will be all and thank you again.",THANK_YOU
"No, that will be all and thank you again.",NEGATE
I want to make a reservation for this evening 7.,INFORM
"Make it at Mister Jiu's in SFO. Also, it should be noted the reservation is only for 1 person.",INFORM
"Yes, I don't necessarily need a whole table but I think they will understand.",AFFIRM
"Yeah, I guess that will work.",AFFIRM
I will. Thank you very much.,THANK_YOU
I will. Thank you very much.,GOODBYE
I'd like to make a booking at a restaurant.,INFORM
I want to book a table at Khana Peena in Berkeley at afternoon 1:30.,INFORM
Yeah that's perfect. Where is the restaurant? What type of food do they serve?,AFFIRM
Yeah that's perfect. Where is the restaurant? What type of food do they serve?,REQUEST
"Thanks a lot, that'll be all.",THANK_YOU
"Thanks a lot, that'll be all.",GOODBYE
I want booking at a restaurant on the 7th in SF,INFORM
I am interested in Oneup at quarter to 5 in the evening,INFORM
No the restaurant should be Bombay to Goa at 17:30,INFORM
No the restaurant should be Bombay to Goa at 17:30,NEGATE
That is perfect. Do they provide liquor and live music?,AFFIRM
That is perfect. Do they provide liquor and live music?,REQUEST
Please try reserving again on the 7th,INFORM
This is good for me,AFFIRM
No thank you,THANK_YOU
No thank you,NEGATE
Can you help me make a reservation for a restaurant for a date?,INFORM
I'm looking for Anchor & Hope.,INFORM
I want to make it for two people at one in the afternoon in San Francisco.,INFORM
That works for me.,AFFIRM
"No, thanks a lot.",THANK_YOU
"No, thanks a lot.",NEGATE
I'd like to make reservations at a restaurant.,INFORM
In San Rafael for the 5th of this month.,INFORM
At 1 pm please.,INFORM
A restaurant called Rangecafe.,INFORM
"Yes, that works for me.",SELECT
"Yes, that works for me.",AFFIRM
Do they serve liquor or have live music?,REQUEST
No. Thank you.,THANK_YOU
No. Thank you.,NEGATE
I would like to make a restaurant reservation in San Jose.,INFORM
The restaurant is Spencer's.,INFORM
Please make it on the 3rd of MArch at quarter past 1 in the afternoon.,INFORM
Yes. Are they considered intermediate priced?,AFFIRM
Yes. Are they considered intermediate priced?,REQUEST
Thank you for your assitance.,THANK_YOU
"No, thank you for your help.",THANK_YOU
"No, thank you for your help.",NEGATE
I want to make a reservation at restaurant Hisui 2.,INFORM
"I would like to be at 8 o""clock in the night.",INFORM
In Vacaville I want to be,INFORM
No.Red Jade is the restaurant.,INFORM
No.Red Jade is the restaurant.,NEGATE
Yes is good .Tell me please their address,AFFIRM
Yes is good .Tell me please their address,REQUEST
Try please make the booking again at 7:45 in the evening,INFORM
Yes is perfect.You can tell me please what type of food is available and if they have live music?,AFFIRM
Yes is perfect.You can tell me please what type of food is available and if they have live music?,REQUEST
"No,it s ok.Thnak you!",THANK_YOU
"No,it s ok.Thnak you!",NEGATE
I would like to make a reservation to a restaurant for 5 pm.,INFORM
"Yes, the restaurant is called Sociale and it will be for the one located in San Fran.",INFORM
"Yes, that sounds great. Could I also have their contact number, please?",AFFIRM
"Yes, that sounds great. Could I also have their contact number, please?",REQUEST
"No, not at this time.",NEGATE
"No, Thank you for your help.",THANK_YOU
"No, Thank you for your help.",NEGATE
I'm going out tonight and need to make a restaurant reservation.,INFORM
Make the reservation in SF at 11:30 in the morning.,INFORM
It is called Will. I only need a reservation for one.,INFORM
Actually change it to eleven in the morning.,INFORM
Actually change it to eleven in the morning.,NEGATE
"No, I'd like it next Monday.",INFORM
"No, I'd like it next Monday.",NEGATE
Yes that's fine.,AFFIRM
Yes that's ok.,AFFIRM
Can you check it they have live music?,REQUEST
How expensive is the restaurant? And can you find their phone number?,REQUEST
"Thanks, that will be all.",THANK_YOU
"Thanks, that will be all.",GOODBYE
I need help with making a restaurant reservation.,INFORM
"It's a restaurant called Yum Yum, and it's for six pm.",INFORM
It's in San Fran.,INFORM
"Yeah, that's correct. Are the prices costly there?",AFFIRM
"Yeah, that's correct. Are the prices costly there?",REQUEST
"Thanks a lot, I won't be needing any more help.",THANK_YOU
"Thanks a lot, I won't be needing any more help.",GOODBYE
I want to make reservations at Stella Alpina Osteria,INFORM
I would like my reservation for the 12th at half past 7 in the evening,INFORM
I want to dine at Stella in Burlingame,INFORM
Yes thanks so much,AFFIRM
Can I please get the address and is it average priced,REQUEST
Thanks for all of that. That is it for me,THANK_YOU
Thanks for all of that. That is it for me,GOODBYE
Please help me to make a reservation at a place to eat.,INFORM
We want to eat at the Claw Shack in San Jose. Please make the reservation for 11:30 am.,INFORM
"I'd prefer to eat at the 3rd Cousin, and the reservation will need to be for four people.",INFORM
"I'd prefer to eat at the 3rd Cousin, and the reservation will need to be for four people.",NEGATE
"Yes, that would be very helpful.",AFFIRM
"No, but thank you.",THANK_YOU
"No, but thank you.",NEGATE
I hear Hunan Impression has great food. I'd like to make a reservation for it.,INFORM
"I'd like my reservation to be in San Jose, and at morning 11.",INFORM
"Actually, I need some more time to prepare. I instead want it in SFO on the 14th of this month.",INFORM
"Actually, I need some more time to prepare. I instead want it in SFO on the 14th of this month.",NEGATE
"Let me attempt to book Hunan Impression again. Let's instead for with the 5th of this month, at evening 5:30.",INFORM
"Indeed, that all sounds good.",AFFIRM
"I'll give up on booking a table for now. Thanks for the help, though.",THANK_YOU
"I'll give up on booking a table for now. Thanks for the help, though.",NEGATE
I want to make a restaurant reservation please.,INFORM
I'm thinking 5:15 pm.,INFORM
I would like it in Danville.,INFORM
I like Luna Loca and I would like it for the 6th of this month.,INFORM
Yes that is perfect. How expensive is the restaurant?,AFFIRM
Yes that is perfect. How expensive is the restaurant?,REQUEST
"Hi, I'd like to go out and eat with some friends. Can you book a restaurant reservation for 6:30 pm?",INFORM
I'd like to go to Golden Harvest in St. Helena.,INFORM
"Yes, that's perfect.",AFFIRM
"Thanks for everything, that will be all.",THANK_YOU
"Thanks for everything, that will be all.",GOODBYE
I want to reserve a table at Cafe Vitale at 19:00.,INFORM
It's in Los Altos.,INFORM
"Yes, that sounds perfect.",AFFIRM
Thank you for the assistance.,THANK_YOU
No. Thank you. That'll be all.,THANK_YOU
No. Thank you. That'll be all.,NEGATE
I need to reserve a table.,INFORM
The evening 6:45.,INFORM
I could go for some Taco Bell.,INFORM
Try the one in Pleasanton.,INFORM
"You got it. Hey, do they have Noodles? What's the price range?",AFFIRM
"You got it. Hey, do they have Noodles? What's the price range?",REQUEST
"No, don't bother. I'm set.",NEGATE
"No, don't bother. I'm set.",GOODBYE
"Hi, I would like to make a restaurant reservation for 3 people.",INFORM
"Please make a reservation at six pm in San Fran, at La Laguna.",INFORM
Thanks very much. That's all I needed!,THANK_YOU
Thanks very much. That's all I needed!,GOODBYE
I would like to make a reservation at the restaurant Anar.,INFORM
San Fran.,INFORM
Make it for 12 pm.,INFORM
"No, I would like the reservation to be for three people.",INFORM
"No, I would like the reservation to be for three people.",NEGATE
"No, the name of the restaurant is El Amigo and it is for 1 person.",INFORM
"No, the name of the restaurant is El Amigo and it is for 1 person.",NEGATE
Yes that is correct. Are the prices inexpensive and do they have live music?,AFFIRM
Yes that is correct. Are the prices inexpensive and do they have live music?,REQUEST
I want to make a reservation at a restaurant for 17:00.,INFORM
Yes that is correct.,AFFIRM
"No, thank you.",THANK_YOU
"No, thank you.",NEGATE
I'd like to make a reservation for 2 at Milpitas.,INFORM
How about 17:30?,INFORM
I like Ta restaurant.,INFORM
"Yes, that sounds good. Where is the restaurant located? Can I get their phone number?",AFFIRM
"Yes, that sounds good. Where is the restaurant located? Can I get their phone number?",REQUEST
Thanks! That is all I need for now.,THANK_YOU
Thanks! That is all I need for now.,GOODBYE
Please help me make a restaurant reservation for later today.,INFORM
"I need something in Petaluma for 3 people, at six in the evening.",INFORM
Please make it at Lemongrass.,INFORM
"Yes, that's it. What is the street address for Lemongrass? Also, what type of food is on their menu?",AFFIRM
"Yes, that's it. What is the street address for Lemongrass? Also, what type of food is on their menu?",REQUEST
"Thanks, that is all I needed.",THANK_YOU
"Thanks, that is all I needed.",GOODBYE
I'l like to reserve a table at a restaurant for 6 people.,INFORM
I'd like to make a reservation for the 14th of this month at Mendoza's in San Jose for 7:30 in the evening.,INFORM
That's fine. How expensive is the restaurant?,AFFIRM
That's fine. How expensive is the restaurant?,REQUEST
"Thanks, that's everything for now.",THANK_YOU
"Thanks, that's everything for now.",GOODBYE
I would like to make a restaurant reservation for three people.,INFORM
Can you make me a reservation at Carnitas Michoacan in Gilroy at 11:15 am. Any day will work for me.,INFORM
"Yes that works for me. Do you know if they serve liquor? Also, can i get the contact number please?",AFFIRM
"Yes that works for me. Do you know if they serve liquor? Also, can i get the contact number please?",REQUEST
"No thanks, that will be all.",NEGATE
"No thanks, that will be all.",GOODBYE
I want a restaurant in Mountain View about half past 1 in the afternoon.,INFORM
I like the restaurant Paul Martin's.,INFORM
"Yes, that is great. Can you give me the restaurant address.",AFFIRM
"Yes, that is great. Can you give me the restaurant address.",REQUEST
What is the restaurant's price range? Do they serve alcohol?,REQUEST
I'd like to make a reservation for a restaurant.,INFORM
I'd like to make a reservation for 4 at Sumac in Belmont at half past 5 in the evening.,INFORM
Sure that sounds good.,AFFIRM
How pricey is the place?,REQUEST
"Thanks, that's all i need.",THANK_YOU
"Thanks, that's all i need.",GOODBYE
I need a reservation to a restaurant.,INFORM
"Yes, El Cerrito and make it for Katana-ya for 11:15 in the morning.",INFORM
It is for 1 and change to 1:15 pm.,INFORM
It is for 1 and change to 1:15 pm.,NEGATE
Yes and do they have live music and liquor?,AFFIRM
Yes and do they have live music and liquor?,REQUEST
Thank you for the help.,THANK_YOU
No that is all today.,THANK_YOU
No that is all today.,NEGATE
I would like to book a reservation for a place to eat.,INFORM
"Cetrella restaurant in Half Moon Bay. Book it for 1 o""clock in the afternoon.",INFORM
"Actually, scratch that. Make it Celia's and at 5:30 pm.",INFORM
"Actually, scratch that. Make it Celia's and at 5:30 pm.",NEGATE
That is correct. Could you give me an idea of their price range?,AFFIRM
That is correct. Could you give me an idea of their price range?,REQUEST
No. Thanks anyway.,THANK_YOU
No. Thanks anyway.,NEGATE
"I was thinking about going to the restaurant, can you help me with the reservation process?",INFORM
"Yes, I do have a special place indeed, it's called Nick's Cove and it's in Marshall. Set a table at evening 7:30.",INFORM
Sounds great. Do you know if they cook Taiwanese food?,AFFIRM
Sounds great. Do you know if they cook Taiwanese food?,REQUEST
"Thank you, you helped me a lot.",THANK_YOU
"Thank you, you helped me a lot.",GOODBYE
Can you make a reservation 1t 12:30 in the afternoon at a restaurant?,INFORM
"I want it in SFO, a restaurant called Kabuto, just for one please",INFORM
Yes that's good. Do they serve liquor there?,AFFIRM
Yes that's good. Do they serve liquor there?,REQUEST
No need it's ok,NEGATE
No that's all thanks,THANK_YOU
No that's all thanks,NEGATE
I wanna make a reservation at a restaurant.,INFORM
I want it in San Jose. The restaurant name is Ma's.,INFORM
"Make it at 6 o""clock in the evening.",INFORM
"No, I want it in Sunnyvale. Make it at 12:30 pm.",INFORM
"No, I want it in Sunnyvale. Make it at 12:30 pm.",NEGATE
No. The restaurant is Siam Taste.,INFORM
No. The restaurant is Siam Taste.,NEGATE
Works for me. How pricey are they?,AFFIRM
Works for me. How pricey are they?,REQUEST
Thanks a lot.,THANK_YOU
I want to make a reservation at a restaurant called Dong Que.,INFORM
It's in San Jose.,INFORM
You make make the reservation for twelve pm.,INFORM
"No, thank you very much.",THANK_YOU
"No, thank you very much.",NEGATE
I am hungry and want to make a restaurant reservation.,INFORM
The time is 13:30 and the city is Alameda. I prefer Applebee's; they have great food.,INFORM
"No, it is only for one. And I change my mind, actually, I want to go to the Barrel Head.",INFORM
"No, it is only for one. And I change my mind, actually, I want to go to the Barrel Head.",NEGATE
"Yes, that works.",SELECT
"Yes, that works.",AFFIRM
No. Thanks for your help.,THANK_YOU
No. Thanks for your help.,NEGATE
My friend and I would like to make a reservation for 2 at restaurant.,INFORM
The restaurant I would like to place a reservation at is called Bj's and I would like to place the reservation at the San Jose location of this restaurant.,INFORM
I would like to make the reservation for 19:30 tonight.,INFORM
"Yes, that is perfect. I was wondering if this location will have live music? Also what is the address of this restaurant?",AFFIRM
"Yes, that is perfect. I was wondering if this location will have live music? Also what is the address of this restaurant?",REQUEST
I would like to make a different time which would be at half past 4 in the evening.,INFORM
"No, I would actually like to make the reservation at a different restaurant. I would like it at Mazzat in San Fran.",INFORM
"No, I would actually like to make the reservation at a different restaurant. I would like it at Mazzat in San Fran.",NEGATE
Yes that is exactly what I would like.,AFFIRM
"No, that is fine. Thank you very much for your help!",THANK_YOU
"No, that is fine. Thank you very much for your help!",NEGATE
"I'd like to have it in Antioch at evening 5:30, and the diner is Chili's Grill.",INFORM
"Yeah, that's good for me. Do they play live songs?",AFFIRM
"Yeah, that's good for me. Do they play live songs?",REQUEST
I would like to make a reservation at a restaurant for three people.,INFORM
Make it at half past 11 in the morning please.,INFORM
In San Mateo the restaurant is Sushi Yoshizumi.,INFORM
"Yes that works, do they serve liquor?",AFFIRM
"Yes that works, do they serve liquor?",REQUEST
"Yes, I would like to book a table for 2 people.",INFORM
What is their phone number and are they above average in pricing?,AFFIRM
What is their phone number and are they above average in pricing?,REQUEST
"I would like to take my wife to dinner at her favorite restaurant, Allegro Romano.",INFORM
Let's make it an evening 7:30 reservation and you should look in San Francisco.,INFORM
"Can you tell me if they serve Punjabi, I've been wanting to try that. I will also need the address for my GPS.",AFFIRM
"Can you tell me if they serve Punjabi, I've been wanting to try that. I will also need the address for my GPS.",REQUEST
Thanks for all your help. That will be all for now.,THANK_YOU
Thanks for all your help. That will be all for now.,GOODBYE
I want to make a reservation at a restaurant for 11:15.,INFORM
Pleasant Hill please.,INFORM
Wence's is the restaurant I want.,INFORM
That works for me. What type of food and liquor do they serve?,AFFIRM
That works for me. What type of food and liquor do they serve?,REQUEST
Nope. Thank you.,THANK_YOU
Nope. Thank you.,NEGATE
I would like to make a reservation at a restaurant at 6 pm.,INFORM
The restaurant is called Zaoh. I'd like to make a reservation for 6 people.,INFORM
Can you find a restaurant in San Fran?,INFORM
Yes. What is the address?,AFFIRM
Yes. What is the address?,REQUEST
I want to make a reservation at Mcdonald's for five people.,INFORM
Yes that's perfect,AFFIRM
"Thanks, that's all I need.",THANK_YOU
"Thanks, that's all I need.",GOODBYE
I'd like to make a restaurant reservation please.,INFORM
For 12:45 please.,INFORM
"Yes, the name of the restaurant is Bikaner.",INFORM
"In San Carlos, the restaurant I'd like to find is West Park.",INFORM
Actually that should be tomorrow for 3 people.,INFORM
Actually that should be tomorrow for 3 people.,NEGATE
